cell,x,y,area µm²,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7(Park7),DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1,12351,15727,259.81,63.34,2.516,63.717,195.783,95.451,302.961,104.949,16.475,71.2,59.969,186.984,2.489,36.467,334.757,156.715,125.177,8.614,93.727,92.924,66.124,76.648,225.581,76.779,285.747,148.897,141.4,85.929,202.969,41.179,60.877,178.454,6.565,218.174,105.734,6.477,161.473,38.12,34.9,17.08,216.776,26.565,59.332146,-16.24156,3.0253563,-13.114506
2,9623,15270,4.41,8.793,1.0,350.426,364.004,95.451,35.586,115.89,1.0,208.9,56.5,172.105,3.978,1.0,92.953,59.646,1.0,17.752,119.97,57.777,70.031,29.924,264.302,14.875,552.995,58.205,61.75,152.146,417.137,1.0,108.148,22.36,496.326,60.522,318.424,2.095,66.545,31.664,4.178,59.292,318.439,46.23,11.035366,10.719299,16.035368,7.348672
3,3196,8744,41.79,138.148,4.032,5.48,186.929,13.715,272.366,494.482,4.439,56.35,63.438,585.521,3.978,32.527,508.447,144.581,179.592,1.0,86.729,267.31,36.167,132.272,148.14,23.413,16.908,895.356,196.75,375.265,45.731,17.437,92.391,114.373,34.393,18.696,121.847,10.859,170.514,614.279,101.642,5.02,122.374,87.528,52.35706,-17.748825,-3.6495976,-12.315808
4,10334,19190,84.99,4.117,1.0,137.635,166.27,8.265,333.557,1.0,16.475,72.55,72.109,489.872,2.489,1.0,130.416,5.045,3.791,5.569,37.741,59.129,34.864,45.499,392.635,73.577,510.045,79.134,126.55,114.719,295.142,1.0,23.06,7.572,1.0,147.391,41.282,1.0,5.52,9.069,1.0,113.563,311.178,1.0,2.4403687,-10.060482,1.1648858,-0.37099272
5,14699,9313,218.88,72.691,1.0,195.872,356.626,126.329,203.194,2.094,25.072,181.9,89.453,455.864,5.466,20.704,428.981,126.381,118.201,11.66,62.235,68.591,66.124,127.822,267.621,149.356,433.688,136.339,144.1,74.414,204.324,8.305,89.24,99.586,9.348,221.391,100.9,5.382,25.862,26.822,4.178,119.594,456.411,59.996,9.965791,4.537342,6.90014,2.3215146
6,4206,17485,131.75,38.404,1.0,43.558,164.795,10.082,534.421,194.673,157.47,123.85,108.531,550.45,11.422,24.645,386.977,15.156,65.182,11.66,112.972,165.923,53.099,94.448,603.94,189.913,40.769,129.363,393.85,80.171,83.685,43.005,123.905,428.204,3.783,75.0,97.677,40.434,12.301,28.436,153.551,109.543,196.028,14.766,-9.69183,-52.54664,-14.352143,-2.5265844
8,6632,301,112.71,354.78,7.064,45.798,493.86,640.36,354.84,414.606,981.086,472.15,125.875,436.734,11.422,1000.0,136.092,274.006,58.205,8.614,79.73,236.218,50.494,107.797,213.412,70.375,220.525,284.236,569.35,226.999,98.596,813.715,73.483,492.285,23.262,44.435,57.395,18.526,143.391,620.735,27.485,29.141,289.393,317.612,38.462822,-24.784904,13.383551,-11.142773
11,2884,14081,235.51,21.261,1.0,240.67,383.188,39.144,433.324,11.942,54.303,127.9,40.891,380.407,5.466,2.97,201.935,15.156,7.976,49.732,46.489,73.999,57.007,130.047,393.741,56.5,328.697,69.367,167.05,78.732,102.662,1.0,98.694,88.084,3.783,94.304,83.176,8.668,86.887,9.069,10.534,171.855,289.393,130.791,-4.104952,-3.253399,0.9839341,3.0078957
12,5880,5820,155.35,58.665,4.032,171.233,505.665,119.064,204.525,39.297,74.936,250.75,68.641,561.078,5.466,22.675,146.309,140.536,70.763,43.64,69.233,78.054,51.797,112.247,454.588,170.702,762.976,157.268,335.8,87.369,231.434,10.132,152.268,47.007,23.262,388.696,125.069,14.145,41.683,21.981,4.178,109.543,462.636,93.427,3.1198158,31.665062,8.424181,12.543764
13,11840,2803,4.97,269.062,5.548,1.0,138.233,44.593,539.742,304.092,102.448,102.25,14.875,522.818,8.444,48.29,250.75,180.982,40.067,2.523,200.45,179.441,64.821,383.69,420.292,49.029,7.363,327.489,76.6,48.503,38.954,35.7,325.596,91.37,37.175,63.739,68.674,10.859,184.075,39.733,378.141,302.509,352.673,44.264,-40.4048,56.82457,-18.554024,9.9175205
14,13480,17227,112.71,22.819,1.0,32.359,1.0,28.245,398.738,347.86,33.67,127.9,59.969,308.139,5.466,8.882,534.557,39.423,327.489,2.523,30.743,340.309,24.445,69.973,1.0,65.038,2.591,115.411,61.75,5.318,99.951,17.437,73.483,332.905,17.696,86.261,33.226,3.191,68.805,4.228,405.685,1.0,4.112,12.799,-63.02041,-64.10749,2.9415078,-28.680279
15,7500,7219,163.45,52.431,4.032,319.067,390.566,204.433,80.814,81.97,83.534,256.15,110.266,369.78,5.466,18.734,309.782,209.294,24.719,22.32,77.981,67.24,49.192,105.572,254.346,36.221,545.041,116.806,158.95,68.656,265.322,4.653,95.543,188.313,123.44,184.391,142.794,19.622,34.903,30.05,8.416,143.714,445.0,107.193,17.374046,14.389301,10.683606,3.9329145
18,6295,18000,17.77,19.702,1.0,5.48,266.613,4.633,628.867,80.876,6.158,651.7,394.703,556.827,2.489,1.0,1.0,13.134,2.395,2.523,160.21,210.533,106.501,101.122,121.588,404.442,21.68,372.137,14.5,60.019,223.301,4.653,240.508,2.643,1.0,353.304,262.029,512.549,25.862,7.456,1.0,1.0,149.346,4.933,53.25867,-13.075613,-5.0011334,-13.343499
21,10980,771,150.51,242.568,4.032,12.2,530.75,79.104,397.407,183.731,88.692,258.85,92.922,516.441,11.422,52.231,338.162,241.65,182.383,4.046,147.963,190.256,139.063,141.171,654.831,193.115,69.403,388.88,203.5,35.548,181.281,48.484,149.117,212.959,34.393,332.391,67.063,33.862,134.351,25.208,282.796,91.453,348.523,181.921,-48.557217,58.166634,-18.251654,13.994244
24,4336,5268,311.97,131.914,5.548,307.868,383.188,202.616,195.213,134.492,47.425,254.8,136.281,447.362,3.978,58.142,205.341,185.026,66.577,48.209,79.73,83.461,70.031,143.396,339.532,86.385,696.164,197.73,229.15,107.522,300.564,37.527,152.268,120.946,17.696,356.522,195.966,30.576,46.204,81.695,20.069,218.087,449.15,134.724,12.545006,27.295036,11.005124,9.738466
26,17012,3361,121.24,163.084,2.516,189.152,355.151,215.331,134.023,209.991,59.461,225.1,165.766,691.798,11.422,34.497,331.351,267.939,158.663,20.797,112.972,91.572,175.532,223.494,364.977,130.144,260.295,309.351,206.2,64.337,319.541,43.005,249.962,196.528,12.131,338.826,213.69,15.24,37.163,21.981,10.534,65.322,619.28,174.055,-30.732735,23.552608,-6.706436,13.836352
27,565,10417,235.37,57.106,1.0,437.783,400.895,62.756,180.581,91.818,50.864,291.25,115.469,391.035,3.978,6.911,371.084,63.69,12.162,16.229,70.982,90.221,58.309,118.922,265.409,50.096,325.516,150.292,200.8,51.382,201.613,1.0,133.36,117.66,3.783,113.609,171.797,10.859,14.561,26.822,2.059,95.473,486.495,34.431,13.385649,4.3747253,7.5467377,2.488936
28,8651,8306,190.17,57.106,2.516,267.549,464.347,182.636,229.799,32.732,37.108,235.9,87.719,315.579,3.978,14.793,355.191,259.85,56.81,48.209,48.238,72.647,51.797,103.347,228.9,61.837,483.002,120.992,115.75,110.401,287.009,1.0,82.937,83.155,156.833,282.522,141.182,11.954,46.204,31.664,26.425,63.312,434.626,99.327,18.089098,13.714928,11.003797,3.2423763
29,1891,18128,201.25,13.468,1.0,3.24,21.659,1.0,252.413,89.63,339.731,73.9,65.172,685.421,2.489,1.0,461.902,3.022,44.253,1.0,34.242,72.647,29.654,45.499,595.09,33.019,26.452,94.482,123.85,35.548,38.954,1.0,26.211,117.66,1.0,26.739,25.169,15.24,12.301,7.456,87.87,123.614,173.206,1.0,-11.058006,-65.43237,-16.800213,-6.444082
30,1523,3376,194.86,74.25,4.032,198.112,461.396,86.369,320.254,51.333,78.375,264.25,101.594,334.709,3.978,26.615,228.045,71.779,9.372,14.706,62.235,67.24,70.031,121.147,289.748,51.163,379.602,136.339,314.2,72.974,234.145,15.611,92.391,116.016,3.783,134.522,199.189,22.908,12.301,21.981,8.416,19.091,414.916,36.398,4.245617,3.9247246,4.1326694,2.8425088
31,5492,15882,230.39,8.793,1.0,186.913,201.685,10.082,255.073,13.036,81.814,117.1,105.062,681.17,3.978,1.0,434.657,3.022,5.186,46.686,28.993,115.905,29.654,63.298,332.894,120.538,78.947,90.296,113.05,47.063,94.529,1.0,32.514,91.37,1.0,189.217,47.727,2.095,10.041,7.456,8.416,53.262,257.234,1.0,-6.124859,-29.680565,-7.1888137,-2.7822683
32,15106,10851,231.53,125.68,2.516,224.991,366.956,140.86,100.767,116.985,42.267,248.05,132.812,486.684,5.466,14.793,360.867,284.117,24.719,43.64,104.224,92.924,89.568,156.746,245.495,25.548,424.143,193.545,195.4,77.293,297.853,4.653,394.927,222.817,3.783,105.565,184.687,13.049,52.984,30.05,27.485,47.231,505.168,105.226,26.008602,14.507603,13.070538,0.32679
33,12411,17970,177.38,10.351,1.0,269.789,297.601,71.838,140.674,84.159,6.158,214.3,70.375,348.524,2.489,6.911,425.575,237.605,157.268,19.274,49.988,105.091,36.167,43.274,195.711,83.183,573.675,176.802,149.5,61.458,291.076,1.0,76.634,199.814,1.0,211.739,97.677,3.191,10.041,18.753,4.178,159.795,407.654,2.967,21.24249,10.277164,10.06521,1.76971
34,6069,3722,158.9,96.069,5.548,213.791,374.334,140.86,172.599,1.0,26.792,212.95,70.375,352.776,5.466,20.704,148.58,92.002,10.767,11.66,60.485,55.073,63.519,185.67,255.452,88.519,468.685,123.782,136.0,64.337,211.102,6.479,70.331,10.859,31.61,129.696,136.348,16.336,34.903,28.436,2.059,93.463,346.449,103.26,6.137703,3.2125893,5.053345,3.5465012
36,11357,18593,327.18,18.144,1.0,144.354,256.284,37.327,286.999,13.036,25.072,204.85,80.781,393.161,2.489,2.97,698.03,110.202,282.841,4.046,53.487,68.591,47.889,58.849,347.276,81.048,260.295,101.458,153.55,70.095,291.076,1.0,38.817,20.717,6.565,120.043,92.844,5.382,5.52,21.981,2.059,93.463,461.598,2.967,9.297911,-16.55126,1.8061872,-4.2224183
37,12194,18988,45.05,32.17,1.0,238.43,245.954,15.531,509.146,124.644,66.339,307.45,96.391,369.78,2.489,1.0,734.357,168.848,206.102,71.052,34.242,105.091,53.099,47.724,243.282,39.423,454.368,168.43,237.25,113.28,383.25,1.0,51.423,268.824,3.783,54.087,126.681,1.0,7.781,26.822,35.96,119.594,567.411,1.0,10.331451,-15.778732,2.5616074,-4.6767335
38,11491,15371,267.06,49.314,2.516,139.874,269.564,64.573,197.874,110.419,9.597,203.5,56.5,348.524,2.489,18.734,271.184,150.648,148.897,57.346,83.229,64.536,51.797,94.448,245.495,120.538,517.998,199.126,176.5,75.853,232.79,4.653,67.18,122.589,6.565,269.652,88.01,2.095,118.529,13.911,24.306,33.161,477.159,20.665,20.92196,8.384388,8.641102,0.22683282
39,3837,6344,163.87,64.899,4.032,5.48,58.549,20.98,308.282,446.337,86.972,69.85,16.609,313.453,3.978,26.615,242.803,33.356,120.992,2.523,46.489,198.367,24.445,112.247,17.595,120.538,18.498,73.553,22.6,57.14,1.0,13.784,149.117,116.016,28.827,253.565,4.223,10.859,84.627,10.683,116.473,3.01,4.112,69.829,83.004456,-17.505604,1.5527884,-22.386362
40,14471,5032,120.1,136.59,2.516,139.874,480.579,100.9,510.477,201.238,197.017,214.3,115.469,723.681,23.332,18.734,390.383,191.093,56.81,10.137,263.434,137.535,129.945,158.971,590.664,43.692,226.889,234.007,285.85,88.808,159.593,13.784,168.025,242.535,17.696,91.087,125.069,20.717,62.025,25.208,39.138,137.684,584.009,272.382,-40.95437,40.354862,-12.533273,14.410451
