cell,x,y,area µm²,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7(Park7),DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1,12308,16245,85.7,248.36,1.0,40.695,324.265,379.0,232.238,182.519,305.958,725.107,278.562,272.454,6.081,380.746,200.8,136.058,140.446,6.854,78.232,465.871,480.0,62.163,260.572,394.909,270.972,333.645,385.142,50.596,686.484,413.251,421.997,398.66,1.0,40.733,26.512,28.527,243.768,178.306,189.203,6.53,551.62,51.38,28.702667,-14.8595085,-19.008625,1.6668228
2,6030,15938,190.03,146.787,1.0,118.432,169.178,40.15,93.235,179.945,8.511,255.779,432.514,289.573,102.628,1.0,202.508,5.288,16.252,14.658,244.732,621.178,270.0,47.892,309.68,200.201,134.41,250.483,164.808,58.862,336.834,24.993,239.982,55.557,1.0,76.682,238.665,589.389,41.819,19.525,20.329,48.923,438.293,3.458,6.00373,21.163029,1.0213014,-5.2176013
3,2410,10453,280.42,433.581,342.053,1.0,297.075,57.7,281.603,46.058,53.579,270.305,370.709,334.815,394.299,40.393,176.892,95.326,46.756,22.463,140.419,620.128,264.0,107.016,341.951,233.151,95.543,567.136,221.334,71.851,189.11,94.793,174.679,181.644,8.248,21.812,3.685,85.875,144.942,142.58,67.125,1.0,355.762,208.664,7.165489,-22.580063,-18.969725,-12.626317
4,9354,19401,74.9,47.604,1.0,245.788,93.649,13.15,247.827,12.586,2.502,108.275,380.822,63.361,21.326,1.0,59.062,18.15,1.0,40.023,89.265,198.282,231.0,29.543,320.904,29.457,159.621,207.837,19.457,89.564,393.161,10.816,230.256,3.425,1.0,25.597,568.98,112.255,3.148,15.555,1.0,244.299,354.53,1.0,11.1283,77.65947,12.248981,2.0988932
5,16775,9621,134.17,382.197,2.421,96.93,387.71,593.65,177.676,113.001,143.714,605.54,392.06,306.692,9.13,574.558,216.169,339.717,128.462,24.414,105.313,658.955,559.0,93.764,306.874,279.582,214.246,445.592,299.777,93.106,694.986,493.956,331.684,410.784,7.04,167.5,258.806,168.456,138.497,192.861,240.068,26.804,797.983,147.225,30.092285,-17.41438,-19.893959,1.5224732
6,2993,16547,288.95,175.467,2.421,138.28,128.896,18.55,462.177,263.624,43.063,202.141,222.376,261.449,3.033,5.727,129.077,54.594,16.252,2.951,134.401,124.826,102.0,34.64,399.478,116.327,67.18,271.807,63.293,44.691,169.98,28.265,164.953,24.035,2.208,65.33,427.992,306.091,106.271,10.262,23.381,235.083,177.149,8.373,-62.10212,52.824127,16.18797,-5.684777
8,7938,455,271.89,312.889,3.842,37.387,295.06,92.8,558.309,192.818,58.086,407.752,375.204,188.083,12.179,43.544,79.554,277.547,47.845,6.854,235.705,229.763,341.0,44.834,384.044,231.654,53.524,398.681,32.147,84.84,431.42,131.873,220.53,9.487,10.664,123.983,394.423,454.048,123.458,31.433,112.904,231.397,336.053,73.498,-20.134893,-18.364609,-7.8644943,-10.497747
10,4687,13940,386.31,46.409,1.0,141.588,301.103,21.25,453.083,15.161,16.023,188.732,244.85,73.143,4.049,1.0,16.369,3.144,48.935,281.969,111.331,109.085,197.0,74.396,424.733,102.847,201.64,179.05,43.682,63.585,311.328,2.091,160.784,2.212,1.0,190.205,508.556,139.782,127.755,15.555,5.069,157.67,313.88,46.465,12.880363,68.776184,9.096737,0.7910308
11,13193,2574,219.31,567.419,2.421,1.0,346.42,200.8,356.951,155.485,196.293,240.134,266.201,391.062,10.146,283.052,176.892,266.828,129.552,6.854,220.66,345.193,175.0,134.54,430.346,69.897,150.167,482.908,195.955,308.021,207.177,228.938,378.925,108.902,10.664,50.193,261.492,301.503,127.755,195.507,151.562,52.609,409.962,228.325,-9.437286,-9.1657295,-13.332106,-5.2489853
12,10479,7056,301.17,139.617,2.421,232.556,303.117,133.3,282.902,55.07,19.027,207.728,234.737,111.049,30.472,13.606,43.692,200.371,18.431,20.512,114.34,124.826,157.0,65.221,298.455,114.829,210.044,205.704,52.911,63.585,324.081,22.812,156.616,5.85,4.624,137.227,492.444,147.811,46.116,23.494,3.035,163.199,395.18,68.583,0.9715576,54.109394,3.71673,8.27747
