cell,x,y,area µm²,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7(Park7),DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2,9617,14793,83.29,90.745,1.0,169.626,300.7,113.306,138.362,76.955,113.6,170.374,261.423,131.251,49.436,129.553,38.286,159.175,12.997,13.052,538.691,153.179,182.181,77.298,202.018,20.754,339.504,135.481,112.0,90.957,312.863,74.919,274.411,71.27,158.335,36.245,241.635,157.336,118.529,125.006,11.132,83.426,423.129,156.482,-14.429351,-19.864609,2.8216753,9.4345875
3,4838,16265,235.93,64.766,1.0,141.285,128.872,10.141,463.037,129.737,10.165,137.919,258.221,122.649,7.055,1.0,44.714,9.325,4.272,43.853,94.468,159.391,124.123,31.519,328.721,23.576,66.018,180.308,39.0,75.57,262.965,20.567,91.699,19.739,1.0,21.661,410.566,207.231,26.185,10.271,28.356,132.881,196.704,1.0,21.935904,22.090744,16.744732,-5.9817696
4,1531,9196,260.1,163.957,3.24,179.545,286.714,190.353,149.601,159.347,113.6,223.113,197.385,222.181,25.218,157.433,80.714,204.963,9.725,26.444,78.387,105.559,93.092,58.987,214.201,13.699,247.654,144.019,144.0,62.55,276.479,101.009,119.303,86.495,5.583,48.398,220.974,83.049,70.258,113.416,10.119,60.347,478.882,74.456,-19.340313,-3.9607143,10.906676,11.351418
6,15160,8352,84.99,115.543,2.12,183.796,358.642,220.388,147.104,1.0,4.928,162.26,287.038,171.801,16.136,27.33,26.714,221.612,7.544,17.07,63.312,155.25,184.183,58.987,390.854,22.165,195.021,204.856,40.0,94.508,381.472,16.219,40.434,3.342,2.528,78.781,524.807,54.221,19.889,25.338,1.0,121.342,508.465,27.934,-19.67625,-38.67575,1.723021,16.965948
7,1198,15011,155.49,48.234,1.0,78.936,323.677,28.424,310.69,181.232,27.186,203.843,285.971,173.03,16.136,2.549,92.286,28.056,11.906,5.017,215.071,204.941,166.165,70.177,276.334,115.292,114.523,176.038,50.0,68.468,310.784,48.83,95.642,4.513,2.528,26.522,330.354,274.866,158.405,13.748,44.567,152.663,217.185,103.838,12.118044,5.381363,8.656948,-1.7545522
8,1379,19217,141.56,73.032,1.0,2.417,76.924,1.0,572.928,118.151,35.042,198.772,172.837,411.413,3.018,1.0,128.286,3.081,12.997,1.0,98.488,138.686,156.155,29.485,390.854,302.958,42.281,216.596,19.0,77.937,149.655,31.437,263.895,12.712,2.528,19.23,163.854,232.733,45.074,11.43,136.767,136.178,76.096,3.449,-14.069164,43.195663,21.797432,-15.482361
9,9545,17046,77.32,100.191,1.0,156.872,201.799,92.412,134.616,16.448,1.0,117.635,391.635,80.871,24.209,1.0,40.857,23.894,1.0,41.174,53.262,214.258,326.326,29.485,278.771,6.644,224.949,335.067,21.0,146.589,475.031,11.871,170.567,2.171,1.0,25.307,591.65,186.164,11.494,12.589,1.0,183.985,377.616,1.0,25.483849,-0.706398,14.613031,0.39002416
10,3224,11431,246.88,214.734,1.0,118.613,269.731,62.376,73.427,58.932,3.619,245.425,310.519,101.76,5.036,1.0,39.571,161.256,11.906,14.391,93.463,86.924,136.135,69.16,172.779,125.169,272.423,188.846,38.0,58.999,276.479,7.522,246.807,6.856,1.0,106.734,404.489,292.606,101.739,16.066,7.079,144.421,388.994,72.007,-1.5155373,-16.92022,1.7812885,5.5195203
11,8208,292,139.0,297.394,3.24,16.587,352.648,85.882,719.031,62.794,82.177,514.192,371.356,439.675,55.491,39.721,148.857,246.587,101.336,5.017,175.875,277.407,394.394,60.004,534.612,429.949,125.875,405.51,49.0,68.468,473.992,153.187,120.617,34.964,10.165,178.438,340.077,434.528,91.246,28.814,225.927,179.04,358.273,90.371,14.247631,-83.353485,-10.353419,-14.64955
15,2741,13033,223.43,134.436,1.0,97.357,234.766,64.988,148.352,26.747,69.084,185.587,245.413,142.31,11.091,31.977,35.714,61.356,9.725,22.426,107.533,127.298,117.116,68.143,219.074,167.5,218.757,230.471,76.0,63.733,261.925,18.393,136.391,26.766,4.055,54.474,323.062,149.575,87.048,36.927,6.066,124.639,340.068,58.54,-7.3004494,-6.0217094,7.253139,3.1858375
16,5885,7412,172.12,143.883,3.24,101.609,265.735,106.776,124.626,190.244,7.547,235.283,310.519,193.919,3.018,21.135,52.429,142.525,41.353,2.339,99.493,150.074,85.084,64.073,242.222,192.898,91.818,203.788,49.0,67.284,229.699,46.656,141.649,6.856,5.583,90.934,298.755,427.876,126.924,20.702,15.185,14.188,212.633,84.25,4.3192234,8.818829,3.8156273,-5.615051
17,15989,1800,140.0,323.372,4.36,91.689,263.737,253.035,266.984,337.004,65.156,189.644,263.558,466.708,16.136,103.223,157.857,400.6,91.521,39.835,322.61,160.426,277.277,259.397,334.812,57.441,289.967,306.25,121.0,119.365,357.563,145.578,207.372,79.468,13.22,107.949,403.274,132.943,288.527,85.602,38.488,160.906,598.352,239.732,10.189327,-54.11113,-11.389871,13.223361
18,9393,5377,250.57,186.394,2.12,168.209,326.674,195.576,283.217,2.287,18.021,198.772,361.75,114.048,6.045,25.781,25.429,192.475,34.809,50.548,138.689,165.602,136.135,58.987,220.293,139.28,321.96,226.202,37.0,100.427,351.326,65.136,163.995,4.513,8.638,97.011,609.88,354.697,47.172,21.861,6.066,213.658,379.892,127.099,1.2219543,-26.246893,-2.1642826,6.46791
