class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7_Park7,DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
dense,1,409,192,216.82,100.99,0.27,0.76,1.0,7.631,377.912,501.698,311.867,477.409,1.0,20.98,358.667,1.0,153.671,1.0,334.0,33.226,190.466,22.484,88.632,118.529,153.788,74.839,97.677,485.722,9.122,519.804,262.835,74.752,47.311,370.251,40.176,1.0,5.921,1.0,205.097,335.125,23.966,1.0,49.29,1.0,304.661,521.278,1.0,-21.123596,50.16289,-4.05237,-1.7834706
dense,2,337,347,316.17,118.62,0.28,0.77,132.943,5.42,246.176,281.295,157.943,307.263,23.913,620.38,625.889,49.562,200.136,1.0,309.333,13.89,26.836,602.548,1000.0,37.728,12.753,113.93,97.677,420.698,55.146,346.065,464.246,1.0,57.235,355.076,20.588,30.673,1.0,144.213,301.774,355.375,12.483,36.426,13.073,1.0,159.432,335.108,1.0,-28.633194,21.46423,-3.434834,-4.753084
dense,3,756,603,270.33,111.24,0.27,0.71,114.094,9.841,396.209,523.259,326.958,210.036,60.573,1.0,399.778,306.25,259.877,30.382,272.333,65.452,233.526,33.226,88.632,118.529,459.365,322.417,22.484,518.234,14.537,488.435,327.286,135.094,60.543,408.187,59.765,99.911,5.921,105.79,194.355,595.0,448.828,1.0,37.218,1.0,124.225,514.629,1.0,10.974728,-20.635065,1.2058481,-4.8678102
dense,4,781,1018,552.74,171.19,0.24,0.79,48.123,5.42,308.385,446.597,133.798,353.445,143.06,140.86,428.556,146.688,319.618,1.0,87.333,149.239,121.569,269.548,386.579,45.074,353.588,131.304,22.484,465.033,76.805,242.304,274.919,215.55,245.788,286.79,40.176,40.564,5.921,235.031,473.645,422.875,150.276,8.085,22.127,1.0,97.819,418.22,1.0,-30.88964,20.818691,1.5520306,-3.2644048
dense,5,499,1334,190.67,77.06,0.4,0.8,33.986,5.42,538.923,511.281,203.215,144.409,129.312,20.98,436.778,21.812,253.239,1.0,112.0,59.006,323.953,11.742,106.158,67.11,59.765,74.839,162.129,494.589,6.415,469.13,194.355,182.027,27.464,393.013,1.0,90.02,5.921,25.451,248.065,335.125,12.483,1.0,34.199,1.0,256.251,522.94,1.0,-22.121973,49.617043,2.0813987,-4.7860556
dense,6,556,1408,215.89,91.97,0.32,0.76,302.585,9.841,286.429,568.777,296.776,793.394,253.041,200.8,399.778,236.875,316.299,1.0,383.333,52.561,306.728,86.935,272.658,118.529,142.035,148.678,226.581,574.391,22.659,425.696,331.315,161.913,103.546,375.309,118.529,109.802,45.291,179.143,269.548,470.125,184.724,29.34,52.308,54.518,177.035,546.211,13.54,-22.87783,50.54462,1.8637867,-5.471791
dense,7,1747,1441,289.59,92.38,0.43,0.8,114.094,7.631,293.747,499.302,296.776,98.226,179.72,180.82,449.111,7.938,220.05,1.0,198.333,284.587,358.401,43.968,79.868,67.11,106.776,48.778,215.839,467.988,9.122,403.978,125.875,215.55,328.487,362.663,236.059,99.911,50.212,689.122,258.806,402.625,115.828,22.255,37.218,143.714,291.458,529.589,67.879,-13.109903,30.904144,3.2020578,-4.6569653
dense,8,4150,1450,269.26,87.1,0.45,0.85,222.476,7.631,436.462,647.835,278.668,309.693,271.372,420.58,601.222,146.688,259.877,30.382,235.333,239.471,255.056,97.677,263.895,169.949,259.565,196.457,291.032,586.213,22.659,329.174,258.806,228.96,189.553,468.886,59.765,80.129,30.527,392.217,323.258,480.25,242.138,50.596,25.145,36.679,502.7,483.047,80.418,10.45211,-24.693863,3.672663,-5.7418714
dense,9,1677,1490,382.68,128.84,0.29,0.78,114.094,7.631,451.099,475.345,299.795,83.642,74.321,220.78,383.333,42.625,230.007,1.0,210.667,323.258,345.483,43.968,71.105,45.074,59.765,48.778,172.871,482.766,9.122,394.326,125.875,155.208,259.02,400.6,40.176,70.238,55.133,469.063,269.548,355.375,150.276,8.085,28.163,18.839,375.075,493.02,46.979,-13.938895,31.821213,2.9277484,-5.096771
dense,10,4392,1513,262.16,112.84,0.26,0.76,175.354,7.631,685.297,518.468,402.411,100.657,106.399,280.72,424.444,209.125,269.834,30.382,247.667,52.561,250.75,65.452,88.632,177.294,283.071,244.235,355.484,491.633,14.537,452.239,287.004,182.027,163.089,587.754,138.118,99.911,5.921,214.073,312.516,473.5,322.517,86.021,34.199,18.839,427.885,526.265,76.238,11.133293,-23.853899,3.638691,-5.85549
dense,11,1670,1795,416.79,175.49,0.17,0.67,156.505,7.631,425.484,365.144,296.776,32.599,129.312,280.72,412.111,160.563,246.601,1.0,136.667,155.684,336.871,86.935,176.263,111.184,118.529,148.678,269.548,426.609,9.122,483.609,303.117,195.436,93.623,433.478,79.353,119.693,30.527,151.199,323.258,439.75,425.862,15.17,40.236,18.839,335.467,524.602,76.238,11.563061,-21.797285,3.3039541,-6.8705072
dense,12,1213,1834,510.1,171.57,0.22,0.69,189.491,7.631,440.121,415.453,284.704,132.255,248.459,340.66,453.222,174.438,286.429,1.0,87.333,175.019,358.401,54.71,141.211,111.184,130.282,170.396,237.323,465.033,41.61,408.804,323.258,182.027,103.546,408.187,59.765,60.347,35.448,98.804,334.0,426.25,230.655,8.085,40.236,54.518,304.661,531.251,72.059,11.789932,-22.466057,3.0776641,-5.707604
dense,13,1623,1981,623.88,236.15,0.14,0.69,180.066,7.631,473.055,439.41,308.849,44.752,390.518,260.74,469.667,49.562,226.688,1.0,87.333,78.342,422.991,33.226,97.395,67.11,59.765,74.839,215.839,447.299,11.829,432.935,178.242,222.255,156.474,393.013,20.588,40.564,30.527,353.794,334.0,362.125,184.724,29.34,34.199,72.357,344.269,539.562,88.778,13.310513,-22.365026,3.40637,-5.0893006
dense,14,1689,1993,319.51,135.17,0.22,0.73,260.175,9.841,564.538,563.986,378.266,59.336,344.693,200.8,449.111,431.125,173.585,30.382,149.0,129.903,401.461,162.129,158.737,118.529,271.318,313.73,269.548,479.811,9.122,715.261,432.02,188.732,209.401,468.886,138.118,159.257,35.448,392.217,473.645,537.625,356.966,22.255,46.272,54.518,331.066,546.211,92.958,13.021095,-26.842594,4.223069,-5.5603867
dense,15,4926,2166,421.06,156.35,0.22,0.74,132.943,9.841,473.055,717.309,450.701,307.263,1.0,240.76,465.556,299.312,213.412,30.382,395.667,97.677,233.526,162.129,220.079,147.912,330.082,252.922,334.0,589.169,49.732,457.065,234.637,128.389,252.404,580.167,196.882,129.584,5.921,406.189,473.645,497.125,322.517,71.851,40.236,18.839,348.67,444.815,72.059,9.49398,-24.727997,3.586789,-6.0857415
dense,16,2192,2208,228.26,94.92,0.32,0.79,142.368,7.631,443.78,520.863,302.813,258.65,367.606,140.86,428.556,306.25,253.239,30.382,173.667,258.806,401.461,183.613,149.974,221.368,247.812,218.174,280.29,541.879,6.415,582.543,359.512,282.597,173.013,453.711,314.412,248.277,45.291,207.087,430.677,466.75,356.966,15.17,34.199,143.714,309.062,521.278,34.439,13.244377,-25.937698,4.0782223,-6.1714983
dense,17,1658,2233,265.78,132.41,0.19,0.59,269.599,7.631,484.033,477.741,293.758,86.073,285.119,360.64,391.556,556.0,303.023,30.382,124.333,84.787,354.095,129.903,211.316,169.949,341.835,296.357,323.258,405.92,19.951,556.0,524.669,269.188,73.775,471.415,236.059,268.059,45.291,77.846,376.968,514.0,598.103,43.511,31.181,36.679,379.476,524.602,84.598,12.44239,-25.28976,3.2007322,-5.844389
dense,18,2635,2710,1342.27,536.18,0.06,0.64,142.368,7.631,553.56,437.014,266.595,124.964,147.642,200.8,556.0,160.563,283.11,1.0,112.0,181.465,388.543,43.968,167.5,162.603,142.035,157.365,334.0,482.766,17.244,604.261,287.004,208.846,179.629,562.463,20.588,169.149,45.291,343.315,387.71,443.125,276.586,15.17,46.272,36.679,322.264,619.349,13.54,12.862888,-23.709496,3.883245,-5.476777
dense,19,1965,2919,288.45,91.18,0.44,0.85,231.901,9.841,505.989,451.388,305.831,56.905,349.275,240.76,391.556,306.25,376.04,1.0,186.0,490.832,457.44,108.419,97.395,177.294,189.047,187.77,344.742,423.654,11.829,534.283,287.004,202.141,278.868,499.235,118.529,109.802,55.133,486.528,462.903,460.0,379.931,36.426,43.254,215.071,335.467,514.629,88.778,13.3046875,-29.994984,4.3313174,-5.486846
dense,20,5518,3666,264.72,98.91,0.34,0.81,279.024,5.42,451.099,530.446,408.447,98.226,88.069,380.62,473.778,125.875,316.299,30.382,198.333,7.445,354.095,54.71,246.368,111.184,236.059,153.022,538.097,541.879,22.659,592.196,266.863,302.711,364.874,554.876,40.176,109.802,15.764,758.983,484.387,490.375,345.483,114.362,31.181,54.518,590.718,468.087,343.753,10.685104,-28.649586,4.237854,-6.0230308
dense,21,3407,3955,242.12,92.74,0.35,0.81,500.5,9.841,751.165,413.058,320.921,90.934,651.725,200.8,560.111,798.812,306.342,59.765,186.0,123.458,509.112,76.194,106.158,515.191,447.612,426.661,505.871,429.565,3.707,671.826,464.246,275.893,189.553,552.347,294.824,564.792,40.369,221.059,430.677,601.75,827.759,185.213,43.254,72.357,300.26,501.331,247.615,10.345608,-34.91745,5.5775795,-6.296929
dense,22,2933,4006,278.15,121.72,0.24,0.74,241.325,7.631,813.374,470.554,275.65,44.752,601.317,440.56,609.444,181.375,422.505,30.382,210.667,252.361,457.44,76.194,106.158,155.257,189.047,148.678,334.0,506.411,17.244,517.391,274.919,349.644,126.702,511.881,59.765,297.733,60.054,214.073,484.387,392.5,322.517,121.447,43.254,304.268,278.256,564.496,276.874,16.803955,-31.357536,4.5177283,-5.3997555
dense,23,4441,4028,444.15,151.42,0.24,0.77,382.693,7.631,560.879,516.072,390.338,52.044,280.537,280.72,490.222,139.75,286.429,30.382,235.333,117.013,453.134,43.968,53.579,169.949,95.024,187.77,452.161,459.121,11.829,739.391,234.637,202.141,146.55,501.765,40.176,169.149,40.369,339.822,452.161,392.5,288.069,142.702,46.272,72.357,247.449,574.469,331.213,13.623116,-28.878086,4.1950216,-6.225178
dense,24,4166,4689,267.2,120.97,0.23,0.71,307.297,12.051,659.681,489.719,375.248,32.599,390.518,440.56,576.556,153.625,389.316,30.382,161.333,142.794,491.888,33.226,97.395,96.493,165.541,157.365,409.194,450.254,14.537,625.978,194.355,215.55,159.781,509.352,40.176,258.168,25.606,308.385,484.387,416.125,334.0,128.532,37.218,72.357,348.67,599.403,201.636,15.410103,-29.717094,4.2919693,-5.710369
dense,25,4374,4708,248.16,109.11,0.26,0.73,279.024,9.841,637.725,506.489,402.411,76.35,706.716,360.64,469.667,216.063,376.04,30.382,161.333,239.471,513.418,86.935,79.868,169.949,294.824,157.365,419.935,482.766,11.829,688.717,198.383,282.597,381.414,542.23,98.941,287.842,30.527,675.15,484.387,399.25,414.379,213.553,34.199,143.714,335.467,562.834,347.933,15.856514,-33.335865,4.858891,-5.550228
