cell,x,y,area µm²,Neurofilament,CD3e,CD45,CD4,NeuN,ATG7,A-Beta,S100B,IBA1,CD68,MAP2,CD31,HLA-A,GFAP,CD11b,SMA,DAPI_1,GalMac3,CollagenIV,CD14,PSD-95,CD11c,CD34,Synaptophysin,AQP4,P2Ry12,CD40,Claudin5,HLA-DR,Trem2,iNOS,CD163,CD74,ApoE,H2A.x,PCNA,TMEM119,CD44,P2Rx7(Park7),CD8,Vimentin,UMAP_1,UMAP_2,TSNE_1,TSNE_2
3,8387,15210,14.21,60.025,252.01,118.11,272.942,33.41,276.479,1.0,341.319,44.602,62.124,266.772,119.266,22.151,170.453,138.362,5.569,88.386,104.912,21.758,172.346,106.438,314.1,2.774,186.357,192.186,141.661,236.327,10.177,47.564,33.934,149.446,39.104,25.086,60.877,609.541,188.752,152.867,1.0,483.131,336.664,50.95,-49.131874,-44.390564,1.9149532,8.633571
4,5434,16379,232.67,12.805,226.808,110.982,439.207,8.626,321.179,3.693,722.256,51.014,73.585,1.0,5.174,18.897,173.776,149.066,4.046,131.539,83.307,12.677,91.346,6.325,84.582,176.668,377.731,186.934,118.046,119.422,6.244,87.072,30.797,31.759,30.821,27.38,27.787,275.235,189.756,214.563,140.419,525.238,141.859,112.317,32.112286,67.52734,2.9848087,22.364725
5,3997,9752,235.65,42.318,187.493,150.697,141.903,31.504,51.938,9.078,199.702,66.403,35.382,270.542,133.18,10.762,88.496,122.307,2.523,101.332,99.768,15.271,89.269,91.528,377.781,75.526,147.841,2.05,79.031,181.67,14.11,61.674,15.115,137.41,35.791,22.792,54.574,272.624,154.615,124.392,1.0,376.809,337.663,40.96,-49.12063,-36.813873,2.6361327,3.695919
6,9110,18921,152.08,95.44,98.783,146.624,233.489,33.41,387.71,23.888,434.632,85.639,43.023,100.9,117.875,15.643,188.174,72.357,5.569,52.784,57.586,17.866,93.423,70.227,307.466,89.721,157.47,1.0,1.0,253.027,23.287,39.097,19.819,19.723,29.164,38.85,5.727,250.424,134.535,74.561,1.0,302.068,93.907,58.086,-35.70684,-27.84269,3.291891,8.446918
8,12944,9447,131.33,124.953,166.324,151.716,223.626,77.26,480.229,31.966,108.585,95.899,31.562,159.332,117.875,23.779,245.766,109.82,4.046,36.602,90.509,15.271,102.769,98.983,381.761,2.774,421.061,86.088,56.443,137.641,10.177,58.852,22.956,99.964,32.478,11.323,43.544,79.353,88.35,95.917,1.0,228.38,207.793,226.489,-37.428314,-30.990639,-1.8685395,4.353793
9,4576,15076,266.78,30.513,228.824,48.862,337.757,4.813,182.92,1.0,564.173,36.908,43.023,1.0,9.348,18.897,266.809,134.795,1.0,65.73,70.961,13.974,109.0,2.065,30.187,181.991,412.636,38.817,106.752,155.86,14.11,67.318,38.639,106.651,40.761,21.645,38.817,104.165,122.486,107.781,147.44,614.717,135.865,95.191,26.463295,68.300446,5.6437054,22.080822
12,5909,15003,166.72,15.756,247.978,132.367,310.986,6.719,208.908,14.464,723.354,74.098,67.855,1.0,10.74,17.27,171.561,141.93,2.523,123.987,149.152,16.569,225.308,4.195,182.757,119.886,354.863,33.565,125.233,171.043,12.799,95.538,29.229,122.699,49.045,28.527,54.574,531.188,254.013,88.798,162.485,793.673,278.722,149.423,35.687355,66.27728,1.2181892,24.385912
13,9788,871,140.14,12.805,274.188,149.679,289.85,2.906,2.04,239.306,261.179,158.737,83.136,8.54,62.22,46.557,198.142,54.518,11.66,214.609,2.029,26.948,419.5,112.828,129.689,9.872,203.207,413.836,65.683,55.657,7.555,87.072,233.107,58.506,57.328,26.233,97.118,643.494,62.245,107.781,532.596,1.0,1.0,352.077,39.325832,1.3272591,-4.332297,-23.621176
15,13657,19044,91.96,1.0,84.67,91.633,263.079,2.906,26.989,13.117,453.295,189.515,14.371,1.0,31.61,43.303,638.942,31.327,7.091,21.498,3.058,4.892,526.462,4.195,28.861,1.0,360.881,518.883,10.24,286.429,14.11,37.686,255.063,34.434,90.463,36.556,131.784,21.894,30.117,1.0,786.358,1.0,1.0,186.529,43.297733,-15.410736,-10.858666,-21.53581
16,300,13179,13.36,8.378,184.469,113.018,378.619,10.532,468.794,3.693,154.692,15.107,58.304,1.0,84.482,28.66,163.808,184.745,10.137,235.107,34.952,15.271,72.654,44.666,68.661,1.0,265.795,122.855,110.859,99.685,29.843,47.564,32.366,66.53,39.104,48.025,23.06,164.235,398.592,103.036,28.081,390.494,259.741,39.533,22.21738,49.758408,3.1654084,11.781794
17,12782,5426,53.3,1.0,159.267,117.092,248.989,10.532,427.212,27.927,469.762,239.529,46.843,6.655,149.876,171.839,409.682,388.112,19.274,46.311,185.162,100.9,215.962,38.276,444.116,258.291,168.302,280.426,85.191,177.116,95.394,64.496,49.617,172.181,82.179,33.115,52.998,14.059,76.302,480.33,5.012,44.16,20.98,193.664,1.3219719,-33.193058,-8.58673,-3.8436906
19,14701,13542,164.44,8.378,208.663,37.661,248.989,2.906,113.271,89.86,454.392,124.112,54.484,21.734,76.134,28.66,513.79,111.604,10.137,101.332,9.231,15.271,170.269,48.926,30.187,451.703,206.818,340.303,108.806,224.181,14.11,57.441,289.565,185.554,44.075,25.086,130.208,203.412,87.346,10.492,308.925,1.0,1.0,392.037,-43.048244,41.08029,-3.3214529,-20.700706
