cell,x,y,area µm²,Neurofilament,CD3e,CD45,CD4,NeuN,ATG7,A-Beta,S100B,IBA1,CD68,MAP2,CD31,HLA-A,GFAP,CD11b,SMA,DAPI_1,GalMac3,CollagenIV,CD14,PSD-95,CD11c,CD34,Synaptophysin,AQP4,P2Ry12,CD40,Claudin5,HLA-DR,Trem2,iNOS,CD163,CD74,ApoE,H2A.x,PCNA,TMEM119,CD44,P2Rx7(Park7),CD8,Vimentin,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2,6035,14648,245.88,42.901,282.423,555.311,383.552,17.571,140.164,1.0,338.215,513.194,272.979,1.0,134.2,154.864,137.96,659.623,2.081,157.323,90.543,73.189,497.944,4.949,160.391,63.243,388.939,106.276,194.355,564.505,74.043,568.135,76.989,135.709,474.0,670.585,70.551,57.578,203.587,580.462,163.995,369.907,239.362,204.389,-7.828285,-38.719402,6.5554786,-0.10789566
3,1799,15941,102.05,1.0,240.885,28.922,311.823,8.102,130.224,1.0,92.329,589.361,62.457,10.395,287.618,351.096,31.883,46.313,2.081,81.604,189.796,381.738,68.486,7.581,56.001,203.29,203.939,102.916,26.512,118.452,270.696,106.211,37.475,110.922,27.0,29.236,31.349,5.85,518.722,59.154,32.547,24.61,331.528,525.026,42.21235,58.188446,2.9978788,17.76901
4,5454,10311,177.66,102.444,208.692,418.801,208.908,29.408,121.526,12.631,2.405,410.535,155.296,188.9,119.929,32.219,17.113,648.032,3.162,327.079,30.129,13.808,135.972,119.458,197.433,13.449,207.303,3.24,174.214,241.182,8.866,192.383,11.132,91.524,56.0,362.684,78.138,164.267,324.71,498.423,1.0,200.21,220.293,2.196,-25.714611,-12.011787,-0.66138566,-7.000481
5,6745,18972,203.81,51.722,110.038,207.832,404.342,29.408,295.481,2.292,51.582,355.341,136.99,54.238,177.014,174.933,80.222,230.728,5.325,126.791,97.016,207.087,139.04,56.281,124.472,105.776,251.03,42.438,6.371,346.757,158.323,584.168,21.264,30.097,25.0,173.102,104.694,28.481,320.423,168.192,83.023,68.879,169.442,221.139,29.835136,45.544662,4.9086394,11.855235
7,12265,9541,57.7,7.616,183.769,28.922,208.908,24.673,96.675,3.585,1.0,464.624,23.229,22.922,217.45,601.961,11.742,95.842,2.081,259.91,130.46,542.416,1.0,18.111,97.533,386.907,87.333,21.159,5.028,181.797,484.206,51.1,179.32,101.223,23.0,2.345,97.106,10.699,257.181,4.115,1.0,1.0,12.653,334.798,44.201393,85.018166,-6.8584867,25.111586
8,2145,14907,170.27,67.159,179.615,235.755,297.27,69.652,188.623,2.292,173.823,285.798,153.988,13.527,35.489,33.334,50.681,244.427,4.244,213.501,26.892,11.479,76.666,24.692,71.716,17.598,316.061,92.836,218.524,253.059,8.866,214.427,22.277,119.544,31.0,456.802,16.175,135.17,322.567,392.5,112.467,114.623,237.243,15.357,0.31064606,-43.227474,12.346497,-1.9331757
9,4599,18863,157.76,62.748,172.346,164.398,276.479,8.102,64.369,1.0,99.354,347.614,202.369,1.0,22.407,29.989,34.569,224.405,2.081,218.386,2.079,7.986,68.486,4.949,13.347,14.486,395.667,14.439,18.456,284.732,14.485,152.303,13.158,9.621,22.0,315.624,1.0,73.743,207.874,376.923,84.075,37.891,101.642,22.535,10.649868,-52.76776,14.626046,-3.3754754
10,9123,17489,601.77,192.861,218.038,360.888,248.411,41.244,198.563,56.572,47.367,418.262,187.986,201.426,115.171,19.954,111.105,323.462,3.162,113.357,15.025,14.972,218.796,126.04,229.984,1.0,193.848,20.039,207.782,319.044,13.361,120.239,5.053,4.233,21.0,350.583,30.085,67.277,208.946,282.423,1.0,321.211,225.59,14.16,-20.7347,-7.4685173,0.58108866,-9.2745075
11,4987,17483,218.74,27.464,228.423,368.127,296.23,8.102,255.72,1.0,190.684,556.245,215.445,1.0,84.25,130.335,68.137,350.861,1.0,203.731,90.543,167.5,105.297,3.632,149.166,140.009,344.091,12.2,139.302,381.069,61.682,488.977,17.211,21.476,18.0,230.918,60.434,54.345,289.338,96.538,111.416,96.916,155.67,119.444,4.7423897,-45.744408,8.9518,2.5206351
12,6085,1505,127.06,3.205,86.154,95.109,154.852,1.0,5.97,43.648,249.696,478.975,160.526,1.0,27.164,24.414,307.145,47.367,4.244,203.731,6.394,10.315,575.655,24.692,76.206,1.0,207.303,381.785,27.855,37.951,5.495,85.169,182.36,40.874,23.0,405.709,103.429,309.752,173.574,16.577,537.305,1.0,1.0,93.123,-61.288795,-30.987587,-11.489344,1.5114207
