cell,x,y,area µm²,Neurofilament,CD3e,CD45,CD4,NeuN,ATG7,A-Beta,S100B,IBA1,CD68,MAP2,CD31,HLA-A,GFAP,CD11b,SMA,DAPI_1,GalMac3,CollagenIV,CD14,PSD-95,CD11c,CD34,Synaptophysin,AQP4,P2Ry12,CD40,Claudin5,HLA-DR,Trem2,iNOS,CD163,CD74,ApoE,H2A.x,PCNA,TMEM119,CD44,P2Rx7(Park7),CD8,Vimentin,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2,9206,14216,68.79,3.073,224.842,109.631,194.388,66.662,351.634,3.581,133.262,246.444,38.793,24.715,312.736,507.087,136.348,61.293,5.274,442.501,516.208,627.432,93.575,47.067,307.868,427.212,95.182,78.786,50.153,209.765,423.739,45.955,93.293,201.44,25.0,30.84,222.587,52.0,498.383,3.058,1.0,149.819,169.0,336.739,-87.74088,-22.600876,-26.930492,1.7552629
3,3318,15330,85.85,50.743,235.205,118.768,292.634,12.725,244.599,1.0,235.976,564.014,84.145,1.0,283.849,309.482,87.365,104.954,3.137,31.775,272.217,311.278,243.12,6.265,132.035,225.541,337.364,145.461,74.065,395.477,368.116,115.885,38.526,184.381,28.0,78.844,236.204,4.0,543.889,100.797,136.654,196.969,595.0,349.652,-69.446915,-4.7577553,-20.931768,-4.123336
4,5002,8973,164.87,3.073,148.156,39.579,178.876,78.387,135.102,6.163,9.442,340.1,57.69,1.0,483.649,721.158,24.203,95.598,2.068,299.28,352.849,248.987,87.471,11.53,334.747,1.0,224.121,22.113,20.927,199.519,460.451,55.945,319.463,53.242,51.0,19.164,107.461,32.5,588.336,2.029,1.0,118.876,257.0,248.696,-93.28281,-22.764751,-26.811348,-0.18572836
5,7224,18855,246.59,158.519,105.667,183.744,286.429,12.725,152.326,3.581,33.362,228.143,61.469,21.751,63.588,46.01,48.694,201.632,5.274,57.815,4.142,16.279,72.212,77.34,39.078,11.395,210.667,128.792,1.0,339.123,23.249,127.873,11.142,13.794,19.0,279.942,13.379,49.0,162.914,339.487,22.032,255.907,120.0,47.957,-4.9864693,-5.2796535,5.853327,-15.453721
7,14436,8855,37.1,1.0,238.314,11.152,402.255,29.141,25.606,2.291,1.0,489.735,63.989,1.0,648.545,327.047,1.0,319.1,554.457,116.998,620.925,244.286,85.437,37.854,3.24,508.297,420.333,1.0,22.255,337.842,746.356,44.956,560.846,305.924,36.0,50.301,821.74,2.5,331.178,1.0,1.0,1.0,40.0,495.217,-92.752655,-31.491371,-31.06432,1.955743
8,5323,14434,129.76,63.178,215.516,310.649,246.096,5.69,188.005,1.0,124.82,484.352,152.173,78.074,3.407,13.076,48.694,390.828,1.0,257.852,9.377,18.629,28.467,3.632,146.594,26.989,334.0,118.791,171.043,226.415,6.562,99.901,5.057,58.573,28.0,177.447,22.045,164.5,243.342,315.824,153.479,142.451,24.0,9.217,-15.874313,12.513187,0.6536245,-16.23122
10,4089,18698,48.47,27.944,193.753,251.765,296.77,3.345,165.86,1.0,103.714,299.193,28.715,1.0,8.222,9.782,59.006,234.897,2.068,60.182,1.0,12.753,25.415,4.949,100.676,24.909,261.121,11.001,1.0,118.831,4.337,161.839,7.085,4.199,18.0,68.465,1.0,26.5,188.312,401.217,97.745,15.735,37.0,3.348,-22.301994,5.9514236,4.0581913,-16.436928
11,6720,16533,134.17,38.307,207.225,278.162,257.472,3.345,311.034,83.605,81.201,362.707,506.169,18.786,5.814,33.934,30.648,382.512,2.068,237.73,17.755,11.578,161.735,8.897,119.715,3.079,186.0,86.565,123.218,246.908,2.112,150.85,5.057,2.066,95.0,379.842,28.234,80.5,171.38,400.188,86.178,76.146,18.0,103.13,-10.273382,15.943596,-0.4073815,-13.1128025
12,2793,16758,95.23,44.525,181.317,279.177,290.565,3.345,201.538,6.163,99.493,408.997,244.136,1.0,8.222,21.858,31.937,349.247,4.205,38.877,5.189,13.928,39.658,23.375,67.077,19.712,419.212,79.898,164.4,218.731,6.562,191.809,8.099,82.029,30.0,165.77,3.476,10.0,131.166,150.181,71.456,28.996,61.0,24.478,-25.276852,9.971464,2.9115531,-19.421923
13,12070,5860,148.52,152.301,159.555,305.573,130.27,33.831,347.943,8.744,9.442,144.176,50.131,365.62,146.637,11.978,87.365,198.513,3.137,6.918,39.745,22.155,92.558,153.68,223.871,1.0,340.727,106.567,143.145,154.692,7.675,68.932,14.185,94.823,31.0,56.788,34.424,16.0,60.263,443.4,3.103,360.522,224.0,9.217,55.220894,-31.790329,17.297077,5.9073286
