class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,Neurofilament,CD3e,CD45,CD4,NeuN,ATG7,A-Beta,S100B,IBA1,CD68,MAP2,CD31,HLA-A,GFAP,CD11b,SMA,DAPI_1,GalMac3,CollagenIV,CD14,PSD-95,CD11c,CD34,Synaptophysin,AQP4,P2Ry12,CD40,Claudin5,HLA-DR,Trem2,iNOS,CD163,CD74,ApoE,H2A.x,PCNA,TMEM119,CD44,P2Rx7_Park7,CD8,Vimentin,UMAP_1,UMAP_2,TSNE_1,TSNE_2
dense,1,3002,39,339.83,147.86,0.2,0.69,26.747,86.629,27.759,89.079,5.647,138.983,326.701,72.357,31.977,8.587,173.621,108.036,48.571,225.04,32.968,58.086,44.435,138.409,16.691,219.243,319.979,47.422,1.0,203.65,786.515,1.0,31.942,32.614,15.91,40.96,12.352,31.273,20.782,66.567,25.366,62.843,136.598,3.291,1.0,1.0,109.587,-39.156075,3.6901016,-12.051062,-11.652263
dense,2,2240,77,387.8,191.06,0.13,0.6,170.933,111.094,197.232,126.165,419.186,150.022,307.542,1.0,97.802,8.587,434.39,210.314,88.214,96.493,44.956,72.357,118.894,56.706,16.691,80.92,337.505,164.405,1.0,187.818,244.592,1.0,20.892,95.842,30.821,147.52,6.676,16.136,25.728,76.104,130.951,312.593,225.152,1.0,1.0,7.842,80.63,-26.09539,22.153011,-10.389855,-4.5038705
dense,3,3381,68,218.17,84.56,0.38,0.8,11.299,58.086,7.69,123.847,1.0,2.84,332.175,3.745,43.593,6.058,144.239,103.279,119.929,651.085,12.988,58.086,50.64,26.996,1.0,406.748,232.347,1.0,1.0,295.475,556.608,2.576,40.783,45.259,12.928,114.22,20.866,23.705,30.673,104.715,74.098,1.0,20.371,92.651,1.0,1.0,181.978,-40.732662,-0.7517986,-11.619882,-12.957996
dense,4,1648,157,198.41,69.48,0.52,0.79,98.84,98.861,183.853,61.265,131.102,245.691,36.581,1.0,124.907,16.175,280.132,200.8,56.5,140.566,48.952,72.357,94.075,19.569,68.995,22.517,376.063,162.548,1.0,273.311,217.222,5.727,12.051,108.487,42.749,100.9,3.838,23.705,45.51,42.724,41.61,203.179,194.712,1.0,1.0,3.281,44.435,-28.383488,18.050127,-10.452563,-5.764157
dense,5,803,226,257.47,121.95,0.22,0.67,6.149,196.722,355.556,133.118,154.335,365.276,313.016,1.0,136.523,18.704,265.441,241.236,119.929,30.382,112.888,129.443,87.87,38.138,48.073,28.665,495.242,283.245,1.0,184.651,140.586,13.606,9.841,165.392,57.66,127.54,18.028,23.705,85.074,98.754,74.098,381.571,363.518,1.0,1.0,1.0,51.674,-25.673834,24.900913,-9.884718,-3.916755
dense,6,1178,273,282.98,88.52,0.45,0.84,78.242,86.629,219.531,49.675,47.465,334.0,427.97,1.0,90.058,6.058,460.099,188.907,80.286,30.382,48.952,72.357,63.05,26.996,21.921,19.443,404.105,195.972,1.0,190.984,72.162,1.0,7.631,114.81,27.839,67.6,1.0,1.0,15.837,61.798,41.61,343.514,327.543,1.0,1.0,1.0,44.435,-23.889526,25.647291,-8.562625,-4.110303
dense,7,2108,428,227.76,87.98,0.37,0.8,150.335,45.853,79.047,126.165,572.521,32.276,340.386,11.978,109.419,1.0,265.441,162.743,64.429,114.857,36.964,72.357,125.099,19.569,11.461,47.108,214.821,93.844,1.0,246.396,121.427,1.0,7.631,95.842,15.91,154.18,3.838,16.136,20.782,42.724,139.073,184.15,147.668,1.0,1.0,3.281,29.957,-29.358166,18.29029,-10.686943,-6.223319
dense,8,1276,666,465.54,144.62,0.28,0.78,129.737,66.241,163.783,68.218,140.395,183.138,252.803,1.0,93.93,1.0,188.312,210.314,127.857,34.055,48.952,86.629,63.05,97.558,11.461,22.517,362.042,177.403,1.0,186.235,113.216,1.0,12.051,95.842,24.857,107.56,94.656,1.0,40.564,612.56,65.976,350.65,178.108,1.0,1.0,3.281,44.435,-26.376617,18.295364,-10.138694,-5.7030945
dense,9,1699,867,442.45,150.72,0.24,0.64,78.242,33.62,32.219,1.0,98.577,50.674,263.751,1.0,90.058,1.0,180.967,188.907,88.214,89.147,8.992,58.086,44.435,101.271,6.23,99.363,446.168,45.565,1.0,140.322,211.748,1.0,29.732,57.905,18.893,94.24,32.219,1.0,65.292,77.296,49.732,65.221,139.366,1.0,3.086,28.37,37.196,-32.525562,13.772076,-10.076958,-8.096575
dense,10,635,962,359.16,122.4,0.3,0.75,52.495,107.016,114.725,82.125,298.377,59.873,211.748,1.0,136.523,49.053,162.603,219.829,88.214,19.364,60.94,86.629,211.969,8.428,16.691,47.108,369.053,90.13,1.0,222.648,61.214,1.0,7.631,114.81,42.749,160.84,6.676,16.136,40.564,52.261,147.195,203.179,180.875,1.0,1.0,14.685,8.239,-30.269508,18.08644,-10.258195,-6.383642
