cell,x,y,area µm²,ATG7,P2Rx7(Park7),GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1,14055,12980,198.27,657.944,671.742,249.751,44.956,30.0,22.978,97.903,22.978,117.836,579.753,97.253,2.279,218.782,83.706,57.422,247.615,14.986,139.694,24.023,30.0,109.891,283.625,28.922,10.009,21.785,158.473,36.566,115.885,122.878,42.353,80.752,3.997,54.808,101.503,58.563,2.081,97.903,45.166,15.478,8.18,58.693,-45.603413,11.57229,20.854939,-10.894909
2,9366,13985,44.2,265.26,471.504,69.931,9.991,254.0,40.96,107.893,37.963,85.679,300.283,80.028,2.279,193.807,75.0,148.693,224.626,23.977,147.734,160.159,20.0,197.803,6.888,92.006,15.014,32.178,117.349,79.455,100.9,122.878,49.971,1.0,7.993,171.561,137.684,60.42,102.63,96.904,9.413,2.609,8.18,72.863,-56.75557,-40.227203,14.0776,13.546864
3,6509,19210,120.1,328.237,231.875,7.993,7.993,223.0,30.97,48.952,14.986,2.072,483.815,55.712,1.0,99.901,159.882,35.849,180.736,9.991,20.096,33.032,74.0,4.996,4.925,33.059,8.007,158.19,89.265,45.981,149.851,144.856,31.471,1.0,8.992,131.966,84.418,106.842,2.081,11.989,78.817,5.826,5.103,69.827,-72.993126,-44.847397,3.3158276,24.3441
4,22453,15728,108.87,165.236,48.05,89.911,20.98,286.0,311.689,11.989,11.989,71.745,374.322,97.253,2.279,41.959,168.588,30.87,693.821,14.986,67.332,24.023,360.0,81.919,158.014,96.143,6.005,319.277,130.389,57.488,100.9,142.858,77.176,12.193,10.99,79.174,56.277,290.673,30.192,45.955,29.393,7.435,6.128,63.754,31.46909,18.894768,-23.553982,2.728516
5,17532,11656,242.61,596.201,609.372,220.78,75.925,43.0,56.944,84.916,32.968,78.176,592.266,112.45,2.279,212.788,61.941,145.374,229.85,13.987,165.825,22.021,106.0,103.897,250.259,23.752,6.005,97.133,235.705,31.336,100.9,160.84,39.088,196.882,6.994,45.671,103.513,90.13,4.244,120.88,7.309,39.609,8.18,65.778,-47.06781,11.908487,20.847681,-10.2810135
7,22706,18471,160.18,517.171,112.608,117.883,171.829,221.0,55.945,182.818,18.982,91.039,129.264,70.91,2.279,69.931,110.912,193.498,264.335,130.87,45.221,28.027,42.0,194.806,466.153,85.801,214.213,101.03,179.536,42.843,241.759,293.707,67.382,185.689,133.867,116.738,73.362,207.113,30.192,11.989,74.611,75.0,6.128,72.863,-11.474129,27.72963,1.409864,-7.776211
8,381,19925,67.94,73.857,136.68,189.811,344.656,14.0,20.98,8.992,38.962,28.869,96.937,55.712,1.0,25.975,151.176,5.978,155.657,340.66,67.332,20.019,5.0,7.993,8.851,263.677,345.345,28.281,48.142,105.607,117.883,59.941,9.706,3.798,312.688,128.921,80.397,467.076,2.081,22.978,423.735,5.826,11.257,57.681,72.98349,26.339169,-5.4126215,-20.302462
9,10963,16254,94.94,297.366,353.331,158.842,84.916,11.0,27.973,67.933,14.986,113.548,233.544,96.239,2.279,178.822,130.5,12.616,155.657,69.931,61.302,34.033,19.0,112.888,391.572,120.963,254.254,259.519,153.458,55.396,187.813,145.855,45.618,77.954,59.941,147.195,99.493,93.844,3.162,26.974,43.063,83.043,10.231,85.009,66.36192,25.21611,-1.3686312,-15.248964
10,11725,2106,79.73,120.781,1.0,62.938,14.986,833.0,404.596,14.986,14.986,556.238,548.469,100.292,3.558,12.988,721.412,1.0,730.395,26.974,126.629,16.015,35.0,49.951,2.963,137.509,8.007,29.58,161.482,51.212,14.986,177.823,112.0,1.0,21.979,98.463,68.337,229.396,12.893,52.948,1.0,2.609,6.128,42.498,41.254,-27.966064,-36.910206,-2.8606915
12,17271,20421,16.63,372.692,33.826,29.971,18.982,201.0,165.835,19.981,4.996,41.732,83.381,16.198,4.837,13.987,217.559,2.659,673.967,3.997,47.231,8.007,32.0,128.872,295.401,33.059,9.008,28.281,54.16,52.258,41.959,30.97,71.735,34.58,2.998,55.823,86.428,86.416,21.542,15.985,1.0,1.0,4.077,25.292,21.166073,9.207359,-21.62756,-4.832322
13,5248,15697,176.81,165.236,380.686,25.975,5.995,228.0,40.96,33.967,10.99,10.647,470.259,45.58,1.0,60.94,33.647,64.06,434.666,10.99,77.382,21.02,27.0,7.993,2.963,52.708,5.004,145.199,46.136,36.566,62.938,82.918,5.353,1.0,6.994,100.494,87.433,78.989,2.081,8.992,24.135,2.609,3.051,61.729,-59.466892,-45.79876,14.262739,18.936342
14,19804,10685,9.66,491.239,402.57,160.84,85.915,21.0,78.922,186.814,84.916,109.261,456.703,110.424,4.837,262.738,115.265,19.254,120.128,14.986,295.474,27.026,31.0,189.811,572.138,66.152,7.006,38.674,232.696,103.515,155.845,254.746,47.794,16.391,11.989,43.64,93.463,49.279,8.568,160.84,1.0,25.13,15.359,34.401,-42.48951,12.637462,5.6484385,-3.899414
15,13901,1330,109.44,131.895,1.0,11.989,48.952,19.0,98.902,42.958,23.977,119.98,30.198,68.883,4.837,15.985,110.912,15.935,205.816,19.981,88.438,18.017,25.0,14.986,177.64,124.065,8.007,38.674,86.256,35.52,17.983,42.958,140.294,84.95,25.975,130.951,53.262,41.851,275.617,62.938,4.155,2.609,7.154,37.438,26.995377,36.136566,-13.968575,-5.3445697
16,22307,20614,156.06,503.587,475.881,235.765,7.993,1.0,1.999,69.931,1.0,46.019,734.087,47.606,1.0,9.991,16.235,110.525,122.218,1.999,6.025,15.014,436.0,43.957,142.312,12.376,6.005,149.096,202.605,27.152,55.945,118.882,27.118,61.164,1.0,62.93,58.287,1.0,1.0,1.0,60.94,23.522,4.077,37.438,-54.598297,29.468542,20.589787,-2.7786837
18,7855,9594,207.51,383.806,300.809,106.894,31.969,6.0,24.976,61.939,13.987,40.66,291.941,107.384,2.279,140.86,46.706,42.487,206.861,10.99,116.578,26.025,76.0,44.956,132.499,20.649,5.004,98.432,131.392,71.087,65.935,132.868,156.618,131.122,4.996,93.387,112.558,30.71,65.87,77.923,112.467,34.783,8.18,56.669,-28.434196,28.059216,8.25648,-4.3180833
19,7085,19878,159.61,80.031,33.826,1.999,4.996,85.0,10.99,20.98,1.999,1.0,484.858,42.541,1.0,16.984,23.853,12.616,165.062,3.997,20.096,10.009,8.0,3.997,28.477,6.171,6.005,36.075,47.139,38.659,46.954,56.944,1.0,2.399,4.996,47.701,63.312,23.283,1.0,1.999,208.161,2.609,3.051,32.377,-69.8974,-33.28436,7.514748,18.861607
