cell,x,y,area µm²,ATG7,P2Rx7(Park7),GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1,15234,12907,416.01,251.827,223.728,84.528,74.87,13.775,72.667,331.957,286.576,51.934,84.435,104.592,2.122,283.106,133.664,376.152,8.315,40.449,223.0,110.042,71.504,143.242,308.977,85.283,14.249,87.167,169.286,292.056,219.372,291.264,92.145,246.477,5.679,145.087,276.511,4.018,31.558,140.248,1.0,81.935,18.418,92.584,18.035828,-69.12826,15.850586,3.9985788
2,9137,14431,329.6,190.466,265.216,3.227,17.415,285.881,24.889,427.975,271.111,19.521,142.284,66.643,2.122,68.746,256.278,232.835,89.823,72.937,83.457,198.157,10.56,13.129,6.775,255.088,12.924,40.044,187.509,461.656,243.862,493.32,18.989,7.215,9.189,454.606,492.365,14.582,17.454,6.275,11.116,2.208,4.074,329.438,-3.3227234,49.915916,-10.390502,0.6057319
3,1340,11145,494.47,146.329,282.685,121.281,66.662,25.272,60.723,237.982,283.483,25.309,21.024,135.362,2.122,191.093,166.83,194.899,35.484,41.61,260.0,106.738,35.654,111.265,108.792,116.269,26.174,147.753,180.005,312.846,141.819,228.698,52.569,103.541,8.019,152.558,254.818,7.036,4.526,157.127,4.794,25.16,73.748,197.852,10.100174,-76.97476,12.271806,4.2339892
4,6271,19411,213.48,165.706,101.446,1.0,5.69,245.001,19.46,157.285,183.48,6.788,65.523,62.54,2.122,68.746,131.654,173.823,40.709,20.725,51.743,145.288,14.145,10.924,8.699,66.691,12.924,95.245,113.548,249.382,166.309,331.265,2.199,1.0,13.868,218.731,196.244,26.654,1.0,7.329,16.175,3.416,4.074,162.061,18.237291,52.855545,-10.302491,11.059784
5,14675,10267,246.03,349.789,340.551,125.736,92.458,25.272,50.95,417.761,299.978,161.905,227.944,115.875,12.225,232.55,177.885,178.038,58.474,84.54,246.257,204.765,35.654,153.166,310.902,132.382,43.398,44.084,156.424,443.055,171.412,261.52,72.957,100.434,46.622,195.25,281.935,55.326,2.175,138.138,59.17,10.664,10.222,159.956,13.24654,-62.513054,16.313099,0.59244424
6,22812,20514,213.48,228.143,77.426,116.826,23.278,15.052,14.03,329.914,248.43,117.917,62.186,124.08,1.0,46.501,178.89,650.139,21.9,25.366,258.943,214.678,42.824,114.573,426.393,82.804,46.048,33.313,320.423,341.295,385.702,403.062,144.914,122.185,11.528,234.74,382.811,20.618,318.329,44.251,9.852,22.744,85.018,241.013,44.89336,-0.3003769,13.404259,11.656621
7,97,20167,58.13,24.683,77.426,44.435,3.345,4.832,10.773,10.193,177.294,72.771,118.922,62.54,1.0,9.089,289.444,1.0,96.093,35.808,66.543,50.564,2.195,9.821,1.0,92.72,91.095,31.966,80.32,292.056,313.251,56.386,5.797,1.0,3.34,267.827,125.739,19.109,1.0,9.439,17.439,4.624,252.031,171.535,21.40978,36.760826,-18.623722,-7.471844
8,7546,16881,90.82,129.105,158.22,2.114,15.07,233.504,17.288,41.859,229.873,60.037,256.869,59.463,1.0,105.147,123.614,106.38,57.429,30.007,84.514,329.227,5.78,23.053,33.723,152.213,11.599,29.274,102.829,412.417,284.679,343.573,23.786,2.554,12.698,293.442,368.71,50.799,2.175,5.22,26.291,3.416,6.123,175.746,2.748394,57.507294,-15.794793,9.613913
9,9329,2821,49.75,42.984,1.0,27.729,24.451,107.032,79.183,4.064,306.164,50.776,13.237,132.285,3.245,52.568,150.749,47.367,48.024,25.366,273.743,36.246,58.359,58.338,143.439,277.398,7.625,196.222,78.176,240.629,35.695,55.36,16.591,4.107,23.226,121.606,158.28,20.618,4.526,146.578,1.0,3.416,23.542,113.638,3.805294,6.2622833,1.0616205,0.052982446
10,15705,21220,94.8,67.744,10.826,15.478,5.69,2.277,21.632,74.546,375.238,55.407,52.174,41.001,1.0,49.534,109.543,1.0,17.72,2.16,45.4,132.071,90.623,59.44,203.11,54.297,8.95,202.954,101.758,194.673,632.646,137.414,32.181,44.502,1.0,141.885,322.068,1.0,4.526,4.165,1.0,9.456,9.197,78.899,14.949772,31.254927,-2.9792595,6.067542
11,3649,15455,277.01,185.083,294.695,14.365,32.658,1.0,21.632,254.325,241.214,76.243,28.812,63.566,2.122,82.902,206.026,182.253,15.63,42.77,92.971,73.695,15.34,109.06,181.936,146.016,14.249,17.156,88.895,236.252,119.37,260.494,18.989,77.129,10.358,148.288,243.971,2.509,3.351,10.494,11.116,5.832,116.782,125.217,26.581059,29.100372,11.17823,7.0701594
12,14859,4444,286.82,392.849,198.616,99.007,60.799,29.105,75.925,282.926,288.638,119.074,138.947,85.105,3.245,68.746,203.011,93.734,32.349,53.213,140.543,85.81,38.044,66.056,181.936,293.511,15.574,155.832,220.737,391.628,146.921,264.597,238.457,61.593,17.377,233.673,229.87,8.545,347.712,108.601,2.265,48.111,63.502,107.321,21.92922,-22.795525,16.435057,-7.129098
