cell,x,y,area µm²,ATG7,P2Rx7(Park7),GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1,17606,12757,165.15,311.658,289.194,93.575,98.783,10.668,41.161,410.229,162.455,21.885,26.615,135.225,3.227,245.222,126.251,383.681,1.0,37.108,218.541,36.271,31.03,151.256,401.75,85.875,11.046,32.937,198.991,227.511,149.075,350.801,42.082,197.123,7.129,116.965,279.567,2.516,5.685,125.249,5.983,22.255,47.749,105.559,40.497353,-32.56656,0.42919916,7.5642548
2,8889,14135,56.0,162.712,217.145,52.883,48.379,194.355,43.169,177.53,207.864,32.328,173.625,49.157,2.114,228.137,153.305,158.101,72.063,87.441,94.986,182.542,17.016,56.838,1.0,158.133,43.416,25.272,188.941,349.314,292.079,349.793,26.05,1.0,46.966,315.914,374.558,38.898,3.342,113.225,24.667,2.181,10.146,128.334,19.477322,52.455147,0.4727607,-9.873287
3,598,10518,50.03,315.914,244.029,428.271,193.542,38.597,79.314,23.066,139.245,14.923,115.712,144.446,2.114,214.066,361.722,1.0,73.093,416.794,160.46,147.271,23.022,25.366,1.0,306.091,170.663,191.347,190.951,196.526,498.979,540.319,52.102,1.0,307.442,207.396,457.808,301.155,2.171,160.319,474.342,12.809,65.025,149.038,27.411476,8.103718,-18.931627,-6.023938
4,5277,5871,146.68,336.128,296.721,83.402,57.452,46.116,66.261,281.843,169.518,47.411,47.776,98.338,3.227,219.092,107.213,49.339,24.688,31.637,197.421,131.71,92.091,109.631,185.077,356.557,12.162,287.159,175.875,390.984,251.511,258.059,52.102,138.899,16.322,194.629,195.25,88.924,82.981,118.235,4.737,35.245,25.391,91.065,-13.905544,-8.626774,-10.368201,12.877017
5,6543,19181,37.95,119.093,192.412,1.0,8.057,253.435,54.213,115.343,512.609,9.122,132.418,48.132,2.114,147.734,182.363,129.903,73.093,38.203,79.146,183.579,61.06,26.381,22.092,147.811,9.93,468.563,142.709,376.026,516.22,520.157,25.048,2.532,15.301,251.016,486.625,35.866,3.342,14.026,28.404,6.904,6.081,301.218,24.068928,72.92395,-1.9706689,-15.452898
6,13959,9670,69.64,373.364,299.947,74.246,61.484,12.816,45.177,253.759,149.336,110.066,88.983,103.462,3.227,187.936,231.461,395.766,18.508,43.674,188.973,74.654,29.028,119.784,319.299,83.581,13.278,18.885,164.82,210.416,117.635,307.454,55.108,74.546,11.215,124.412,260.356,5.548,2.171,115.229,1.0,10.447,46.732,148.003,38.339622,-32.337257,1.0175947,7.352179
8,22436,19933,108.59,381.875,116.062,46.779,40.315,48.265,28.109,182.545,165.482,26.526,103.462,60.428,1.0,33.161,239.477,367.569,273.923,19.601,36.905,64.28,26.025,168.515,482.284,28.527,41.183,67.43,231.152,271.318,187.615,463.705,66.13,125.109,11.215,148.882,209.125,140.466,29.108,4.006,7.228,10.447,76.204,137.651,25.56617,-48.528694,9.312266,9.044958
9,10884,5886,90.39,609.55,255.858,123.077,57.452,179.316,77.306,407.22,329.964,135.592,192.559,97.314,3.227,198.991,273.546,101.706,75.153,56.804,163.628,148.308,93.092,112.677,169.737,343.94,17.743,312.708,211.051,509.582,207.899,472.778,100.199,99.061,16.322,278.677,182.442,270.836,234.061,137.273,4.737,11.628,82.302,140.756,-14.227324,-26.857536,0.5653493,20.390293
10,2906,19887,93.95,77.601,196.714,2.017,5.032,113.79,14.052,70.208,95.855,6.801,116.826,54.28,1.0,20.096,70.138,37.254,15.419,22.884,88.65,29.009,5.004,9.122,1.0,147.811,7.697,64.875,128.639,433.722,58.81,386.084,3.004,1.0,8.15,265.911,471.683,1.0,1.0,20.038,32.141,2.181,6.081,111.77,29.589693,51.74317,9.541485,-17.96635
11,10801,16149,153.5,260.591,313.927,62.039,62.492,6.371,25.096,166.497,149.336,78.739,100.12,60.428,2.114,174.87,131.261,399.794,31.897,30.543,104.49,119.262,22.021,147.195,388.328,168.456,40.067,131.304,123.614,265.975,176.459,300.398,24.046,94.465,10.193,174.415,323.327,5.548,4.513,19.036,5.983,19.894,4.049,204.941,25.33422,-47.088516,9.306443,8.691132
12,6346,2719,105.32,88.24,1.0,28.467,32.25,3.148,128.511,500.5,155.391,61.334,5.455,189.529,3.227,16.075,154.307,1.0,53.525,40.391,171.02,131.71,69.068,16.229,66.194,241.861,11.046,317.818,139.694,347.178,213.985,157.251,42.082,68.417,29.601,228.674,227.269,19.191,63.072,70.138,3.491,8.085,21.326,63.114,-12.694065,13.2533455,20.094643,-5.9971023
14,16349,20476,149.09,109.518,21.432,33.554,12.089,1.0,30.117,70.208,480.318,49.732,100.12,75.797,1.0,35.171,138.275,33.226,22.628,7.565,80.202,279.019,57.056,83.235,188.912,42.29,6.581,177.294,129.644,448.68,212.971,231.849,24.046,36.241,1.0,108.454,209.125,7.064,1.0,6.01,2.246,8.085,18.277,121.087,10.870716,-26.866245,11.795165,-1.5321696
15,5746,15096,149.52,68.026,260.159,2.017,11.081,161.055,27.105,122.364,43.382,10.282,117.94,37.886,1.0,98.488,71.14,73.508,52.495,17.413,103.434,34.196,24.023,16.229,18.257,108.814,5.465,133.859,50.246,236.059,120.677,201.606,4.006,25.515,5.086,114.837,164.298,7.064,3.342,3.004,30.895,63.585,3.033,37.233,35.501328,39.630985,12.23419,-13.485717
