class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,ATG7,P2Rx7_Park7,GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
dense,1,454,32,364.42,228.79,0.09,0.31,445.208,973.55,119.15,129.835,322.417,355.143,191.925,96.725,227.189,100.097,168.926,13.646,263.842,244.963,309.149,288.19,120.834,130.5,40.091,39.624,191.188,393.131,123.375,20.611,23.705,206.515,49.319,151.218,399.616,128.672,191.286,76.617,112.247,97.418,34.509,71.256,211.589,2.502,9.965,21.571,202.99,21.832542,18.063429,0.061721914,-9.386494
dense,2,3051,140,240.13,85.85,0.41,0.84,169.687,1.0,34.757,33.737,71.737,82.4,5.128,28.495,219.335,57.244,18.113,5.215,38.261,136.337,75.552,149.0,10.218,184.767,22.717,21.878,99.162,269.423,125.728,6.768,21.64,32.871,13.08,5.202,62.515,1.0,42.975,15.91,69.973,50.548,24.038,168.928,68.43,1.0,6.123,7.429,35.071,-49.277832,-32.12091,0.93481034,17.46115
dense,3,201,187,504.34,212.28,0.14,0.62,797.576,955.238,64.295,97.098,378.262,236.743,187.796,53.954,213.052,126.879,252.354,8.025,49.339,472.898,393.642,270.571,42.481,162.567,36.834,52.15,162.558,348.783,170.442,22.918,40.217,158.158,61.399,133.36,442.676,82.605,191.286,47.861,192.345,148.306,95.245,165.501,81.916,25.036,11.246,21.571,98.345,33.6997,-3.713498,8.254961,-15.780645
dense,4,13249,218,233.09,127.24,0.18,0.58,115.332,1.0,45.306,26.345,194.595,77.114,116.587,99.78,313.58,357.212,32.018,5.215,15.099,216.471,249.507,256.476,28.654,72.533,31.404,20.834,54.171,232.077,63.364,9.075,54.665,68.04,121.798,5.202,61.284,115.51,79.353,20.171,96.673,55.905,51.264,343.71,121.336,1.0,3.562,15.143,55.756,-57.35415,-22.791924,-3.3447359,19.91356
dense,5,1825,220,428.8,154.62,0.23,0.71,287.767,1.0,61.13,46.409,548.278,236.743,55.697,50.899,252.321,552.727,36.297,8.025,20.134,569.059,1.0,311.095,39.024,142.833,33.576,38.58,83.824,148.049,152.792,13.689,23.705,83.426,73.479,29.363,243.368,22.059,28.983,38.276,178.996,105.453,84.774,136.37,67.393,1.0,8.685,15.143,60.624,-69.47207,-21.967258,-4.4418716,21.272675
dense,6,2542,265,335.28,137.67,0.22,0.76,345.871,1.0,34.757,52.745,136.268,109.886,54.665,55.991,200.486,38.496,27.74,6.62,26.176,239.62,100.403,184.238,24.045,151.467,43.349,34.404,63.374,281.093,138.671,12.536,46.409,49.356,45.695,22.009,162.169,28.64,104.538,23.366,168.983,106.792,51.264,234.043,63.243,1.0,8.685,11.286,64.274,-44.190735,-33.927673,3.4392128,16.754988
dense,7,13044,362,212.98,122.7,0.18,0.68,66.6,1.0,36.867,41.129,80.424,69.714,34.025,25.44,301.014,97.418,22.392,3.81,15.099,155.925,184.896,170.143,15.979,50.333,22.717,20.834,64.396,325.442,66.894,9.075,40.217,36.168,20.328,4.151,56.363,91.818,112.933,20.171,57.736,25.105,21.943,220.334,114.075,1.0,2.281,11.286,19.252,-53.52066,-25.337135,-1.8506432,18.32591
dense,8,1241,363,274.17,111.06,0.28,0.72,342.122,1.0,19.988,85.482,264.091,174.371,41.249,26.459,175.354,30.461,61.967,6.62,4.021,332.219,25.851,180.714,55.156,115.7,25.975,44.843,66.441,344.114,104.548,35.607,46.409,75.733,27.576,44.069,291.35,1.0,177.294,62.772,115.585,90.723,70.113,225.475,41.458,31.045,11.246,12.571,72.792,-43.730328,-33.38143,1.3953494,16.027264
dense,9,3284,374,191.09,60.11,0.66,0.91,235.287,1.0,24.208,39.017,190.872,79.229,44.345,30.532,235.042,75.992,20.253,6.62,11.071,284.139,30.821,129.619,19.436,104.6,39.005,33.361,58.261,285.762,125.728,10.229,27.833,38.366,13.08,12.555,80.969,108.929,104.538,22.301,185.67,53.227,57.547,400.257,42.495,1.0,7.404,7.429,26.553,-47.599457,-31.937668,-1.9045243,19.407026
dense,10,2773,390,211.91,86.57,0.36,0.82,293.39,1.0,17.879,34.793,178.462,94.029,135.163,58.028,148.651,65.279,24.531,6.62,4.021,198.663,15.91,149.0,24.045,137.9,63.98,30.229,53.148,215.738,82.191,11.382,50.537,62.545,90.391,14.656,122.799,128.672,138.118,27.626,251.306,96.079,36.604,318.007,53.907,1.0,8.685,12.571,67.924,-45.4933,-34.829998,3.5350516,17.674385
dense,11,13736,410,327.47,153.37,0.17,0.71,44.109,1.0,25.263,26.345,34.507,80.286,15.448,32.569,253.892,86.705,17.044,3.81,22.148,93.599,60.642,134.905,14.827,62.667,17.288,15.614,63.374,246.082,77.484,6.768,25.769,25.178,5.832,2.05,26.836,98.399,90.546,15.91,29.924,17.07,17.755,199.772,129.636,1.0,2.281,11.286,14.385,-54.02051,-28.412987,-0.26242754,18.555696
dense,12,13643,411,227.69,91.59,0.34,0.74,130.326,1.0,25.263,43.241,53.122,95.086,58.793,33.587,263.316,75.992,38.436,5.215,16.106,113.187,90.463,150.762,21.74,60.2,20.546,22.922,79.734,383.794,73.954,11.382,52.601,46.059,17.912,7.303,62.515,123.407,188.487,22.301,72.198,19.748,21.943,249.465,132.748,1.0,3.562,13.857,15.602,-49.9886,-25.251904,-1.6724616,17.351202
dense,13,1282,448,234.94,105.16,0.27,0.68,90.966,1.0,2.055,12.616,229.343,89.8,31.961,28.495,66.972,19.748,41.645,3.81,1.0,228.936,10.94,194.81,20.588,82.4,28.147,37.536,8.158,47.682,76.307,15.997,58.793,37.267,57.775,6.252,127.72,91.818,23.387,21.236,106.685,94.74,68.019,177.496,26.935,62.592,12.527,16.429,59.407,-54.87924,-33.909138,-0.160194,21.069096
dense,14,3277,455,273.95,114.85,0.26,0.77,216.544,1.0,23.153,43.241,60.568,78.171,36.089,33.587,150.222,75.992,13.835,5.215,16.106,120.31,5.97,92.619,14.827,144.067,25.975,26.053,64.396,278.759,144.555,9.075,23.705,27.376,11.872,5.202,83.43,110.245,126.924,21.236,128.934,50.548,24.038,270.027,58.056,1.0,7.404,7.429,18.035,-46.096863,-33.993107,1.6176366,17.552366
dense,15,1414,471,480.61,156.35,0.25,0.73,70.349,1.0,2.055,18.952,242.994,121.514,41.249,53.954,142.368,14.391,44.853,5.215,3.014,289.481,5.97,196.571,22.893,100.9,56.379,36.492,11.225,36.012,96.311,52.911,102.138,31.772,84.351,15.707,133.872,198.431,51.37,27.626,181.22,116.166,65.925,242.611,24.86,26.538,8.685,17.714,65.491,-55.543266,-33.437157,-0.30074772,21.315899
dense,16,2148,468,419.78,150.32,0.23,0.72,209.047,1.0,7.329,42.185,59.327,107.771,37.121,37.661,79.538,17.07,15.974,6.62,6.035,91.818,10.94,85.571,20.588,107.067,24.889,32.317,28.608,159.72,84.544,18.304,40.217,25.178,26.368,6.252,66.206,77.34,115.731,39.341,116.697,73.314,28.226,230.616,40.421,20.529,8.685,10.0,44.805,-47.755898,-37.666744,1.9421167,18.33049
dense,17,13660,470,197.99,94.29,0.28,0.75,175.31,1.0,22.098,49.577,39.471,99.314,50.537,34.606,228.759,27.783,38.436,5.215,11.071,132.775,40.761,171.905,17.131,58.967,22.717,23.966,74.621,334.778,52.774,10.229,54.665,59.248,15.496,6.252,58.824,115.51,185.689,22.301,78.873,35.818,30.321,290.59,128.598,1.0,2.281,13.857,20.469,-48.903946,-27.273743,-0.6038217,17.530834
dense,18,2557,522,239.91,107.22,0.26,0.69,109.709,1.0,10.494,15.784,59.327,73.943,51.569,33.587,131.373,116.166,15.974,3.81,4.021,195.102,5.97,129.619,17.131,126.8,23.803,26.053,13.27,87.362,85.721,9.075,64.986,27.376,44.487,4.151,61.284,236.601,37.378,18.041,184.558,88.044,32.415,206.626,43.533,10.014,7.404,7.429,28.987,-53.77567,-35.55197,2.274166,19.747417
dense,19,3550,513,211.63,77.91,0.44,0.84,156.567,1.0,28.428,36.905,36.989,67.6,18.544,36.642,197.344,3.678,11.696,5.215,23.155,102.503,10.94,52.095,14.827,123.1,31.404,25.009,71.554,232.077,110.431,7.921,34.025,29.574,8.248,5.202,53.903,91.818,118.529,22.301,100.01,29.122,17.755,258.033,59.093,1.0,7.404,8.714,11.951,-48.599297,-34.3957,1.4229844,18.04975
dense,20,16898,532,384.89,138.37,0.25,0.77,132.201,1.0,42.141,32.681,239.271,105.657,85.626,55.991,494.217,132.236,33.088,5.215,90.628,277.016,165.015,342.81,22.893,38.0,30.318,45.887,100.184,316.105,90.428,7.921,40.217,117.495,27.576,16.757,144.945,40.486,154.908,14.845,57.736,29.122,57.547,420.82,127.561,26.538,8.685,17.714,55.756,-55.845787,-22.2858,-4.0265846,19.315578
dense,21,13279,537,295.13,102.11,0.36,0.81,38.486,1.0,26.318,18.952,89.111,68.657,29.897,20.349,283.736,175.088,34.157,3.81,7.042,189.759,35.791,191.286,25.197,65.133,24.889,14.571,53.148,150.383,72.777,6.768,48.473,36.168,25.16,2.05,30.527,140.518,56.966,14.845,69.973,17.07,38.698,470.513,131.71,1.0,2.281,13.857,7.084,-57.402836,-27.002304,-1.3988881,19.622196
dense,22,1420,551,191.09,68.27,0.52,0.83,83.469,1.0,1.0,29.513,79.183,106.714,14.416,21.367,66.972,1.0,29.879,5.215,2.007,38.396,5.97,59.143,17.131,189.7,30.318,30.229,54.171,52.35,103.371,6.768,38.153,13.089,10.664,3.101,57.594,111.561,62.563,32.951,86.66,63.94,11.472,215.194,35.234,1.0,8.685,10.0,61.84,-50.71946,-38.574356,2.2955399,19.23944
dense,23,1769,612,417.65,163.06,0.2,0.65,180.932,1.0,3.11,27.401,44.435,100.371,60.857,34.606,52.835,59.922,14.905,5.215,3.014,168.39,55.672,112.0,20.588,66.367,34.662,35.448,6.113,36.012,69.247,7.921,36.089,25.178,45.695,6.252,63.745,90.502,51.37,30.821,150.071,78.67,47.075,268.314,35.234,55.081,8.685,13.857,47.239,-50.265057,-38.23157,2.6883297,18.81227
dense,24,14003,622,408.98,143.35,0.25,0.69,57.229,1.0,22.098,25.289,51.881,85.571,50.537,42.752,231.901,92.062,29.879,5.215,16.106,116.749,100.403,129.619,17.131,76.233,17.288,21.878,50.081,204.068,83.367,6.768,106.267,35.069,25.16,11.505,32.988,148.415,62.563,20.171,44.386,18.409,17.755,347.137,131.71,1.0,4.842,13.857,14.385,-55.012177,-28.610214,-0.27983186,18.843592
