cell,x,y,area µm²,SMA,NeuN,HLA-A,CD4,CD44,S100B,GalMac3,P2Ry12,CD11b,Claudin5,CD34,iNOS,ApoE,CD11c,CD40,PCNA,CollagenIV,CD8,Neurofilament,CD3e,DAPI_1,CD68,ATG7,Vimentin,AQP4,CD14,CD45,TMEM119,CD31,GFAP,P2Rx7(Park7),HLA-DR,Synaptophysin,A-Beta,PSD-95,H2A.x,CD163,MAP2,Trem2,CD74,IBA1,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2,11775,4533,313.96,8.897,45.31,48.911,146.1,6.176,244.85,138.259,150.85,164.433,30.836,63.438,213.787,134.682,237.489,142.846,176.626,25.778,212.788,173.972,181.45,55.876,43.433,462.188,14.169,46.068,104.685,197.706,194.461,107.893,304.796,264.235,51.743,203.666,123.031,140.799,70.404,22.634,178.412,102.75,84.532,31.273,6.017006,18.544022,8.160763,10.738732
3,3167,9180,181.36,8.897,60.081,40.756,123.135,3.07,72.919,169.22,98.902,104.905,39.067,19.598,124.876,85.906,207.652,137.78,147.699,22.399,158.842,94.546,120.576,70.843,33.734,274.243,23.576,49.823,86.582,119.244,85.161,91.909,241.079,198.427,42.229,164.77,124.065,104.063,79.868,18.817,55.913,110.844,64.214,24.065,-31.381683,-0.6745758,7.4828005,-4.163655
4,16905,7931,115.55,91.818,23.827,187.548,120.003,49.656,345.987,183.668,176.824,154.692,119.316,40.854,243.757,123.843,187.76,149.938,190.056,124.89,225.775,9.825,164.058,12.225,36.159,372.553,475.102,94.891,84.936,157.923,150.741,149.851,246.768,421.745,47.514,191.383,164.398,153.044,24.135,23.907,153.068,187.156,113.881,13.974,31.326176,2.525093,17.837908,7.6627173
5,19747,9747,157.62,18.769,21.141,63.183,123.135,28.951,404.421,140.323,194.806,156.857,63.759,54.138,258.742,75.067,149.082,128.661,91.912,13.389,173.827,25.71,151.013,92.045,36.159,333.518,32.983,86.128,42.145,128.085,113.579,101.899,341.206,468.135,35.886,193.43,219.208,144.88,88.281,20.089,108.715,213.75,118.397,13.974,34.156303,23.227856,-2.8652008,15.685961
9,10175,3329,161.88,10.872,19.798,50.95,116.871,35.163,424.648,163.028,94.906,144.951,47.298,70.08,142.858,82.293,217.597,90.16,203.486,24.652,164.836,87.486,178.189,110.753,62.831,525.8,74.373,176.263,99.748,183.34,208.67,65.935,340.068,401.247,63.371,138.158,145.783,146.921,130.344,27.725,184.748,102.75,93.563,81.727,14.743177,10.911648,1.6728914,17.887726
10,9431,6378,152.36,6.923,21.141,20.368,131.486,2.035,203.272,188.829,93.907,121.14,14.375,50.153,128.872,105.778,223.123,128.661,148.732,22.399,176.824,78.661,161.884,48.393,33.734,379.781,4.763,6.008,99.748,134.716,120.137,105.895,286.591,237.265,33.771,203.666,51.674,64.267,29.393,18.817,180.524,25.281,65.342,47.13,-4.946539,12.462345,3.338302,1.6663253
12,3143,13604,272.89,8.897,7.714,43.814,157.583,124.193,48.197,12.352,147.853,111.399,39.067,35.54,10.99,15.452,34.153,177.294,36.125,6.631,3.997,2.765,37.96,43.404,33.734,84.852,91.305,106.158,122.789,58.465,82.975,42.958,383.305,1.0,32.714,22.495,139.578,105.084,31.496,42.996,3.112,165.187,68.729,110.558,-70.00629,50.493446,-1.5949359,-27.046791
14,19871,6669,257.25,18.769,14.427,71.338,126.266,53.797,429.143,131.035,149.851,192.574,59.644,151.116,253.747,46.163,154.607,135.754,122.905,14.515,141.859,61.011,174.928,90.798,44.646,240.991,78.136,99.898,48.728,121.455,137.625,117.883,485.708,586.807,44.343,127.922,224.379,123.451,96.694,21.362,85.482,221.844,115.01,47.13,39.834225,18.30024,-4.8934946,17.209705
15,7596,12467,207.22,12.846,35.911,54.008,136.705,18.599,103.26,247.654,134.866,102.74,48.326,14.285,205.795,84.099,156.817,160.07,141.501,17.894,170.83,2.765,45.569,120.73,38.584,306.049,113.881,47.32,132.664,51.834,44.72,71.929,261.559,92.701,53.857,69.579,141.646,130.594,163.995,27.725,5.224,140.906,103.722,77.403,-50.052803,4.4777336,10.808866,-10.681862
16,14596,8683,302.02,10.872,35.911,69.299,111.652,7.211,215.633,148.58,163.837,129.798,49.355,71.408,210.79,94.939,191.075,139.806,158.03,65.197,180.82,18.65,152.1,87.056,45.858,336.41,70.61,9.763,70.124,172.289,162.764,99.901,359.411,349.463,57.029,144.299,141.646,144.88,114.571,31.543,125.611,132.812,130.814,52.896,11.46929,28.61779,5.354836,11.160531
