cell,x,y,area µm²,SMA,NeuN,HLA-A,CD4,CD44,S100B,GalMac3,P2Ry12,CD11b,Claudin5,CD34,iNOS,ApoE,CD11c,CD40,PCNA,CollagenIV,CD8,Neurofilament,CD3e,DAPI_1,CD68,ATG7,Vimentin,AQP4,CD14,CD45,TMEM119,CD31,GFAP,P2Rx7(Park7),HLA-DR,Synaptophysin,A-Beta,PSD-95,H2A.x,CD163,MAP2,Trem2,CD74,IBA1,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2,16380,3779,25.58,14.242,17.896,110.912,187.466,73.768,73.677,122.599,94.94,237.366,70.153,15.962,244.056,50.784,323.867,164.145,352.227,22.553,233.465,297.932,216.945,334.614,81.679,284.58,84.03,78.509,93.764,430.051,428.35,121.203,78.966,439.801,95.486,42.324,257.257,232.315,58.086,16.84,13.953,229.743,409.878,337.606,34.866646,-38.905315,15.865262,9.447385
3,3245,10000,131.04,11.299,14.728,107.647,212.467,13.475,3.464,147.758,131.304,189.891,56.323,2.151,155.485,51.89,662.458,229.827,254.431,38.718,198.395,134.368,161.445,198.22,108.968,455.198,16.815,67.436,164.102,347.419,186.37,127.264,58.175,56.641,572.16,141.501,143.142,120.193,41.776,60.137,59.288,148.049,136.933,483.069,-27.67252,1.4840584,-0.9988514,0.016115647
4,14174,8346,172.97,11.299,23.177,114.176,184.341,9.316,109.4,113.165,168.678,211.103,64.834,18.264,243.026,67.379,257.826,187.452,250.224,95.835,193.385,109.204,157.409,120.806,78.12,355.18,47.128,37.909,125.365,298.687,448.33,142.416,91.44,381.632,72.13,200.387,143.142,165.648,40.756,105.547,111.1,164.388,285.812,299.137,11.565441,-52.83828,10.243365,2.0036504
8,10191,2759,133.89,12.77,6.28,100.029,154.131,131.982,178.381,67.041,63.627,228.275,54.195,18.264,157.544,68.485,347.977,80.454,492.087,29.019,207.413,391.038,221.991,207.435,347.447,278.696,139.384,242.138,199.781,400.388,334.0,72.718,188.118,428.42,255.793,2.033,154.153,130.294,42.795,12.616,1.0,223.908,487.554,384.491,16.980145,10.291136,7.7441854,13.400642
9,10106,6504,241.62,12.77,115.051,49.971,215.592,6.198,52.736,107.923,138.375,245.447,18.022,15.962,159.604,41.934,274.598,177.917,305.958,21.476,205.409,79.008,183.645,153.983,117.273,331.647,6.272,73.587,133.52,266.906,411.7,118.173,52.977,236.208,133.705,179.725,43.042,93.93,47.892,15.784,103.005,62.854,328.965,408.534,2.7134151,-54.450794,7.9826016,-0.14471918
10,19402,14778,113.99,1.0,16.84,26.029,201.008,11.395,124.181,1.0,160.598,344.438,15.895,3.302,8.209,2.106,95.344,158.848,228.141,8.544,3.004,1.0,63.564,393.596,216.936,217.509,29.995,31.757,31.582,185.333,196.36,13.121,13.475,55.376,58.328,6.165,22.021,113.122,43.814,4.168,36.621,51.183,147.721,341.213,85.13197,38.651543,-22.365452,-6.612673
11,2887,13374,136.3,8.356,8.392,82.618,192.675,118.468,21.941,68.089,154.537,116.153,44.62,1.0,10.269,37.508,62.848,200.164,39.908,7.466,12.022,51.327,62.555,52.609,40.153,93.958,56.354,176.932,247.692,115.414,169.72,76.758,108.073,4.794,124.15,41.291,114.113,127.264,18.33,43.241,4.238,122.374,231.87,502.303,-49.04972,-25.61369,-16.365889,-14.138376
13,17755,7480,164.02,9.828,11.56,86.971,258.302,80.005,143.89,184.447,181.81,338.377,85.048,41.282,237.876,57.422,355.315,170.502,267.049,74.282,183.365,73.975,180.618,163.199,353.379,232.806,145.974,64.975,171.238,417.338,330.67,132.314,92.48,262.763,559.421,70.217,156.155,134.335,24.446,36.905,35.002,137.546,251.289,277.498,-25.406364,0.09620476,9.572876,8.999853
14,8237,12718,219.87,9.828,142.507,52.147,179.132,25.949,3.464,78.572,147.466,153.527,42.492,5.604,188.441,19.807,229.523,194.867,303.855,18.243,201.401,3.516,57.509,152.14,72.188,237.512,12.861,23.145,124.346,169.442,247.42,138.375,46.74,21.233,59.39,147.699,118.117,111.102,88.667,54.857,69.003,135.211,136.933,253.455,-24.222145,-45.784363,-9.446652,-5.200402
15,13092,9236,99.35,6.885,14.728,52.147,154.131,5.158,44.113,106.875,133.325,204.032,35.045,35.528,164.754,28.658,234.764,153.551,150.324,19.32,140.279,1.0,170.527,83.943,267.954,285.756,23.405,14.533,71.338,170.502,227.44,62.617,151.734,183.096,44.527,156.997,84.083,105.041,38.717,15.784,26.906,82.694,85.149,217.39,-21.560555,-42.991398,-12.695845,-4.49577
