cell,x,y,area µm²,SMA,NeuN,HLA-A,CD4,CD44,S100B,GalMac3,P2Ry12,CD11b,Claudin5,CD34,iNOS,ApoE,CD11c,CD40,PCNA,CollagenIV,CD8,Neurofilament,CD3e,DAPI_1,CD68,ATG7,Vimentin,AQP4,CD14,CD45,TMEM119,CD31,GFAP,P2Rx7(Park7),HLA-DR,Synaptophysin,A-Beta,PSD-95,H2A.x,CD163,MAP2,Trem2,CD74,IBA1,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1,18132,6481,236.08,11.699,15.242,48.424,212.971,53.14,117.388,105.02,217.383,431.292,50.691,17.576,237.658,67.452,254.325,193.194,344.785,47.221,194.806,75.738,202.012,237.156,169.86,200.8,65.203,78.648,170.527,381.957,312.312,104.207,55.193,323.697,77.604,181.897,149.851,143.857,34.3,15.538,135.596,108.474,277.723,491.075,-59.528564,-13.778,-10.140005,14.0182705
2,13234,2852,111.0,9.024,12.19,98.941,206.885,120.922,181.644,137.976,151.659,222.666,44.48,9.841,154.073,75.205,431.04,164.417,388.264,34.615,251.749,140.511,231.305,201.421,125.194,501.071,25.397,225.833,149.336,376.891,375.375,92.183,123.702,481.954,217.17,128.035,144.856,163.837,63.564,9.308,120.641,125.875,233.767,430.093,-34.212547,-27.077896,2.7679946,16.010468
4,3829,9213,69.22,5.012,20.329,236.059,319.463,12.471,1.0,277.012,164.804,331.994,249.456,105.983,148.03,74.098,290.077,247.667,481.288,403.331,198.802,13.456,180.8,286.872,334.363,169.974,580.112,20.702,223.0,398.168,178.177,169.337,12.248,38.092,353.588,32.505,113.887,72.928,41.364,16.577,51.847,61.39,51.949,158.445,-59.288296,50.970562,-24.332838,-11.210265
5,14367,7784,58.13,7.687,18.294,271.111,202.828,12.471,39.796,190.501,193.115,407.22,178.025,65.095,208.454,70.775,394.267,226.083,262.884,256.265,211.789,30.895,179.79,209.19,70.723,238.477,105.009,18.384,132.182,341.43,277.277,185.369,39.856,261.877,126.924,107.709,146.854,141.859,43.382,22.808,66.802,94.144,123.877,130.726,-61.81582,-19.439363,-7.992461,20.029593
6,20470,10840,69.93,10.361,21.346,94.817,202.828,14.556,66.468,63.824,209.294,270.81,47.585,7.631,272.905,24.258,202.23,166.472,423.654,13.606,156.844,1.0,211.103,582.067,69.634,343.514,8.704,12.589,71.636,428.564,428.428,92.183,15.315,162.967,100.69,155.474,167.833,134.866,35.309,30.077,344.967,127.922,367.633,514.36,-59.90925,-8.896965,-12.500361,12.45731
7,1608,11765,102.48,7.687,10.156,65.95,185.587,16.642,2.212,144.156,89.98,139.416,44.48,14.261,152.058,34.226,223.681,175.722,140.536,26.211,143.857,110.616,114.132,22.751,44.577,174.541,30.533,128.483,244.191,162.096,421.421,108.215,84.846,67.765,75.505,91.449,136.864,107.893,17.145,95.5,33.901,114.616,185.815,402.374,0.39486694,21.277332,-2.8963947,-13.545092
8,18096,2917,71.92,18.386,10.156,128.839,279.909,134.478,316.218,95.751,158.737,396.187,88.995,15.366,287.004,36.441,334.0,212.722,416.576,24.11,258.742,145.494,283.831,592.942,209.08,229.343,27.965,120.37,148.327,484.289,240.239,120.239,98.139,447.335,146.862,7.098,271.729,210.79,152.364,19.692,1.0,298.858,431.569,502.163,0.007896423,-73.30553,-0.026839748,25.043222
9,1516,14815,104.04,45.133,10.156,140.18,327.577,78.167,1.0,55.585,154.692,316.949,55.867,3.21,54.374,101.786,64.331,221.972,196.149,56.675,14.986,1.0,81.809,199.868,310.396,71.786,237.267,1.0,854.691,156.017,3.002,41.08,1.0,1.0,28.284,1.0,150.85,152.848,22.191,733.115,1.0,124.851,51.949,478.879,68.57691,18.645374,-17.48378,-20.142015
11,11191,2112,73.2,10.361,2.017,84.508,176.459,194.96,402.297,20.568,34.367,192.575,46.55,14.261,87.607,77.42,271.69,71.917,231.538,23.06,123.877,118.09,106.052,193.653,201.454,305.838,24.113,127.324,216.945,359.667,252.252,70.138,180.963,457.226,289.577,1.0,139.861,38.962,46.409,8.269,1.0,212.878,464.536,290.388,-18.361261,-55.04562,10.934056,18.901165
12,6595,6317,113.13,1.0,41.692,325.752,256.582,20.813,11.911,385.152,131.436,244.732,263.949,100.458,146.016,120.614,240.025,203.472,491.4,120.754,145.855,1.0,199.992,389.414,243.941,215.642,357.969,11.43,432.891,233.019,290.29,108.215,58.261,36.855,173.097,1.0,22.978,48.952,112.0,86.154,1.0,42.966,138.862,352.479,8.165562,12.869804,-18.020864,-13.553153
