cell,x,y,area µm²,ATG7,ApoE,TMEM119,E_9,IBA1,PSD95,HLA-DR,Neurofilament,CD163,CD14,CD11b,CD34,AQP4,E_8,CD3e,CD68,P2Rx7,Vimentin,Synaptophysin,Olig-2,DAPI_1,CD45,Gal3,SMA,E_7,PCNA,MAP2,E_1,GFAP,CD8,CD44,A-Beta,CD31,E_4,E_5,NeuN,E_3,CD40,S100B,HLA-A,E_10,E_6,H2A.x,CD74,Claudin5,E_2,CollagenIV,CD11c,CD4,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1,18393,7006,113.85,383.95,64.404,5.094,89.076,14.656,28.428,12.213,64.829,12.522,65.146,14.016,26.017,41.959,4.109,24.494,11.071,446.515,53.177,162.455,23.928,201.874,22.812,132.556,2.502,38.985,11.45,58.389,7.11,156.446,13.838,7.231,3.004,9.222,10.064,25.84,14.702,8.014,210.026,662.528,3.108,48.172,18.048,100.298,6.209,4.064,3.066,10.24,115.458,26.67,26.02848,20.146694,1.9102604,1.6817214
3,14173,7304,190.03,245.2,28.836,127.922,96.315,109.199,21.043,25.465,142.018,11.37,157.685,43.303,16.01,126.874,2.036,21.429,45.31,445.379,84.992,19.5,27.203,81.565,60.984,56.5,5.507,190.924,41.754,24.381,17.294,270.44,4.501,122.5,11.02,13.333,41.282,61.48,14.702,30.058,155.247,302.351,26.291,61.8,44.188,35.102,40.585,12.236,13.397,12.294,10.036,51.271,-32.63721,17.241585,-13.750981,7.3626623
4,20077,3368,124.22,329.56,27.289,6.118,44.435,50.372,8.384,4.058,8.422,5.609,34.651,9.678,112.741,14.986,1.0,14.279,6.035,365.823,51.904,101.909,2.092,238.397,23.903,106.861,1.0,33.287,10.405,105.151,1.0,334.691,1.0,1.0,1.0,1.0,2.007,5.32,54.562,1.0,11.091,590.286,1.0,36.641,26.003,55.163,1.0,1.0,1.0,2.027,45.177,15.974,19.460838,23.407772,-1.6935034,1.5481982
6,7312,6324,138.72,159.73,14.918,14.306,75.804,5.202,25.263,12.213,158.346,12.522,124.035,20.524,106.07,178.822,2.036,23.472,15.099,754.512,172.803,6.045,52.315,201.874,42.443,99.667,7.009,114.954,49.069,5.251,23.404,160.591,6.835,259.577,50.098,24.639,37.254,62.56,5.983,40.078,67.312,182.636,16.807,528.279,35.096,149.446,9.334,13.258,130.137,14.347,11.04,54.48,-65.79656,-20.295727,-29.447502,0.8240204
7,15116,10254,121.38,461.65,64.404,4.071,118.033,29.363,51.636,12.213,84.126,7.913,68.301,15.101,21.013,73.927,6.182,20.408,12.078,362.413,63.358,347.455,22.836,39.671,16.269,66.778,7.009,54.179,15.63,258.189,7.11,302.565,16.172,4.115,12.022,27.722,21.141,23.68,50.825,19.036,186.961,607.831,5.215,62.848,15.775,31.09,10.375,9.172,5.132,10.24,69.273,20.253,29.648651,6.702051,6.45737,4.262307
8,19178,15322,5.4,134.2,44.3,110.522,11.859,137.562,43.196,67.26,216.238,2.152,58.837,33.541,1.0,104.896,15.508,2.021,44.303,3.273,14.999,251.591,2.092,6.371,115.514,20.528,4.005,54.179,1.0,75.394,26.459,2.036,1.0,1.0,7.012,33.889,19.127,44.2,1.0,38.074,1.0,213.597,12.592,5.193,51.007,9.024,10.375,3.043,8.232,12.294,50.197,6.348,27.013208,47.501446,-2.8907542,-8.703802
9,13067,15208,66.66,220.78,67.497,3.047,81.837,13.606,31.592,4.058,9.906,1.0,43.063,2.085,7.671,110.89,7.218,8.15,3.014,179.433,27.725,589.636,2.092,130.977,14.087,31.833,2.502,61.776,1.0,86.021,8.128,138.829,1.0,1.0,14.026,15.389,17.113,13.96,10.965,15.028,1.0,706.905,3.108,48.172,51.007,10.027,1.0,6.107,9.265,85.191,28.109,3.139,53.937073,24.381014,6.883383,-6.2039657
10,19802,8014,124.36,799.09,143.272,7.141,107.174,304.587,27.373,14.252,3.969,363.958,491.036,69.336,52.701,266.734,11.363,33.687,56.388,459.017,241.524,51.455,58.866,34.3,88.249,343.25,136.203,50.38,51.159,18.004,7.11,726.415,18.506,11.385,9.016,26.694,16.106,30.16,48.334,10.018,344.091,714.129,57.905,58.655,29.413,41.12,14.542,39.816,7.199,100.592,162.647,117.586,36.634365,-19.59803,17.605675,4.0923433
11,9443,13567,83.29,278.5,58.218,32.731,126.478,80.836,44.251,18.33,18.813,13.675,130.344,149.603,96.063,59.941,7.218,31.644,26.176,205.573,228.797,180.955,63.233,201.874,214.76,200.389,2.502,56.078,105.498,22.255,5.073,163.7,25.508,26.962,13.024,42.111,13.085,11.8,27.158,15.028,388.779,619.183,77.927,39.786,15.775,23.066,26.001,102.126,5.132,155.008,124.494,53.41,55.0501,-8.791718,17.173021,-4.4935637
12,16042,7821,75.47,771.34,45.847,83.909,188.011,191.136,48.471,26.485,17.328,10.218,146.118,38.964,4.336,231.769,4.109,26.537,15.099,545.392,146.078,206.182,45.764,4.223,79.524,186.0,2.502,59.876,20.855,94.523,2.018,703.616,19.673,19.692,7.012,11.278,17.113,24.76,18.439,12.022,253.273,680.072,5.215,65.993,40.778,29.084,22.876,3.043,2.033,13.321,64.253,29.879,31.741344,-17.370728,16.071972,5.46912
