cell,x,y,area µm²,ATG7,ApoE,TMEM119,E_9,IBA1,PSD95,HLA-DR,Neurofilament,CD163,CD14,CD11b,CD34,AQP4,E_8,CD3e,CD68,P2Rx7,Vimentin,Synaptophysin,Olig-2,DAPI_1,CD45,Gal3,SMA,E_7,PCNA,MAP2,E_1,GFAP,CD8,CD44,A-Beta,CD31,E_4,E_5,NeuN,E_3,CD40,S100B,HLA-A,E_10,E_6,H2A.x,CD74,Claudin5,E_2,CollagenIV,CD11c,CD4,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1,18478,7055,84.14,408.983,54.117,281.935,120.321,318.47,48.571,22.143,345.553,11.246,142.702,103.616,1.0,43.096,15.433,22.695,36.184,278.019,3.086,313.087,22.561,22.017,323.423,34.419,5.826,73.284,55.491,272.88,25.366,18.592,31.336,6.581,7.307,44.543,19.731,55.25,25.485,16.941,294.824,410.36,27.64,58.82,17.604,28.0,25.194,13.974,9.246,24.422,111.079,76.105,34.63449,36.898224,10.67501,-21.371294
2,16716,3408,318.65,188.225,41.859,396.912,113.975,306.551,25.292,50.686,335.359,8.172,142.702,82.489,2.327,138.581,5.124,20.629,66.036,501.366,22.899,120.043,18.968,118.694,195.477,15.323,3.413,47.336,78.7,136.94,14.29,77.653,5.184,108.155,4.784,20.905,44.706,55.25,2.224,20.927,132.582,368.339,37.327,47.577,49.428,25.0,77.614,10.436,13.959,13.22,31.775,49.355,-6.521431,15.337303,13.207738,-2.5114305
3,14058,6752,165.3,133.734,177.715,309.052,105.089,329.305,26.304,128.914,157.986,15.345,283.392,73.435,124.382,151.928,16.464,29.927,130.006,295.333,129.264,1.0,48.914,195.756,172.959,91.71,4.62,102.939,172.545,10.484,28.688,104.042,12.507,225.356,8.568,68.181,40.96,97.592,5.897,35.54,325.483,296.498,206.855,63.638,43.893,27.0,149.187,95.357,11.603,150.697,38.877,104.912,-27.728565,-6.4987335,5.184223,7.29336
4,18240,3727,134.03,399.203,36.752,311.221,159.672,194.949,22.255,35.886,62.163,6.123,102.216,71.423,12.94,67.737,2.031,17.529,12.728,722.981,29.156,403.174,3.396,9.407,198.548,22.484,1.0,64.017,56.5,351.915,1.0,139.226,3.092,24.44,1.0,1.0,4.746,15.555,12.018,6.314,108.309,533.71,1.0,62.032,46.661,20.0,11.081,1.0,1.0,12.202,47.162,38.038,11.861015,26.903118,13.267075,-9.300847
5,5940,2763,93.81,6.589,76.589,6.423,63.199,181.947,4.036,17.914,198.761,8.172,140.678,33.193,113.769,54.39,27.805,27.86,15.926,108.345,310.711,1.0,57.299,97.677,33.754,437.839,2.207,10.267,167.5,1.0,33.119,11.053,10.415,62.391,60.284,66.936,35.965,38.049,9.57,27.569,156.854,181.281,434.505,423.407,93.705,12.0,25.194,183.816,59.903,199.578,36.509,68.903,-16.55277,-95.0322,-15.059987,21.961872
6,13240,5175,175.67,150.501,40.837,324.238,168.558,313.052,19.219,40.114,306.816,12.271,182.176,108.647,18.247,134.474,6.155,24.761,44.713,600.054,67.739,7.435,46.518,59.847,172.959,35.613,8.239,117.766,73.655,32.614,27.581,130.43,11.461,322.466,14.875,42.055,43.457,76.421,3.449,27.569,205.399,349.362,54.28,89.336,49.428,34.0,62.492,23.41,16.315,15.257,29.408,90.509,-19.938072,2.323227,14.77268,3.479555
7,8273,6052,124.79,90.421,13.258,296.036,69.546,275.129,30.353,29.543,500.5,13.295,127.52,107.64,32.841,164.249,2.031,26.827,23.39,606.979,57.311,4.217,100.421,115.892,246.656,38.0,7.033,65.87,83.745,13.646,18.721,111.581,10.415,357.068,70.375,37.078,48.452,69.805,13.243,43.511,222.006,376.472,71.233,765.508,27.289,39.0,32.25,17.512,155.327,20.349,37.693,78.163,-77.37086,-16.90641,9.735625,25.083292
8,14992,8798,103.47,368.464,40.837,165.873,150.787,157.026,58.693,35.886,245.653,10.222,153.836,57.338,1.0,143.714,11.31,28.893,19.125,419.991,2.043,408.0,41.727,9.407,190.36,53.516,5.826,91.818,33.291,437.272,15.398,31.158,19.829,31.137,16.136,45.787,42.209,43.342,21.813,44.839,297.379,648.927,17.953,84.518,84.019,31.0,27.21,11.615,18.671,17.294,72.019,53.471,50.607353,37.32077,1.1459385,-23.951164
9,19143,15495,76.04,273.455,39.816,89.945,11.155,160.277,35.413,5.229,37.698,2.025,55.657,11.06,1.0,60.55,11.31,6.165,7.397,4.463,30.198,382.261,3.396,8.006,82.885,26.065,3.413,26.948,1.0,225.459,13.183,51.264,1.0,1.0,16.136,29.614,33.468,27.464,3.449,32.883,1.0,512.022,13.109,15.455,23.139,12.0,8.057,21.051,8.068,15.257,50.713,5.115,81.023476,-22.580238,-18.726187,-14.637079
10,11495,5393,129.34,62.477,12.236,362.202,87.318,469.078,23.267,53.857,302.739,11.246,134.605,97.58,20.9,76.977,4.093,23.728,115.08,395.752,40.626,2.609,57.299,397.518,265.08,15.323,8.239,101.085,157.409,7.323,27.581,109.068,10.415,295.677,12.352,39.567,32.219,63.189,4.673,42.182,230.949,510.666,59.124,65.244,61.881,35.0,150.195,25.769,16.315,12.202,15.204,95.653,-39.865005,5.235632,9.584547,9.480361
11,13231,14496,28.71,2.397,92.933,1.0,18.771,243.707,12.134,4.171,1.0,6.123,18.207,10.054,267.665,1.0,52.548,16.496,15.926,1.0,530.741,4.217,3.396,86.468,1.0,182.419,17.891,280.868,17.145,1.0,99.571,1.0,1.0,1.0,61.545,268.478,148.352,171.69,2.224,173.699,4.832,133.839,394.545,60.426,196.096,9.0,15.113,661.496,84.643,229.11,4.551,10.26,-16.527895,-109.377556,-24.102938,23.761053
12,20378,8031,268.91,322.357,42.88,203.837,94.934,261.043,53.632,24.257,125.365,10.222,252.015,81.483,2.327,74.924,10.279,25.794,30.853,321.303,18.728,367.783,27.353,61.248,237.444,71.419,4.62,54.75,62.555,241.266,7.645,124.147,19.829,7.697,6.045,37.078,20.98,36.726,29.158,16.941,280.771,582.507,24.007,65.244,34.208,33.0,40.315,8.077,9.246,17.294,116.998,50.384,46.613525,24.209602,0.83007497,-19.15906
