cell,x,y,area µm²,ATG7,ApoE,TMEM119,E_9,IBA1,PSD95,HLA-DR,Neurofilament,CD163,CD14,CD11b,CD34,AQP4,E_8,CD3e,CD68,P2Rx7,Vimentin,Synaptophysin,Olig-2,DAPI_1,CD45,Gal3,SMA,E_7,PCNA,MAP2,E_1,GFAP,CD8,CD44,A-Beta,CD31,E_4,E_5,NeuN,E_3,CD40,S100B,HLA-A,E_10,E_6,H2A.x,CD74,Claudin5,E_2,CollagenIV,CD11c,CD4,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1,12402,11199,94.09,194.945,48.814,220.78,72.879,169.621,50.049,36.089,195.477,10.082,126.127,75.074,1.0,116.856,9.089,21.243,29.126,207.015,14.444,330.783,38.0,10.476,174.079,19.928,8.527,61.545,9.024,54.422,35.485,67.931,14.375,99.68,32.714,62.843,43.485,28.531,6.897,32.138,216.054,480.738,36.259,33.019,47.338,26.0,40.96,24.867,17.076,16.984,53.76,48.62,-45.85248,43.262398,-4.482185,5.6262093
2,21132,6875,115.98,127.857,37.623,354.331,138.667,490.955,47.046,38.153,99.262,11.091,169.518,137.136,1.0,16.244,10.1,28.328,64.544,160.978,3.068,274.478,29.906,231.122,277.319,27.289,4.226,47.299,254.762,198.663,7.466,3.479,21.577,8.761,3.44,31.921,19.208,49.508,13.974,11.379,309.827,351.263,24.506,49.669,36.435,38.0,120.88,8.956,5.593,21.979,121.431,70.91,-37.182114,22.155207,-13.664362,0.14114843
3,12357,3047,192.3,177.868,24.398,512.067,228.821,272.49,41.04,48.473,445.227,9.073,106.955,133.132,7.347,82.302,8.078,18.207,115.588,341.673,17.547,197.261,41.469,64.622,295.538,16.774,8.527,65.107,135.404,294.824,27.942,79.086,14.375,122.964,14.418,53.329,55.623,49.508,68.229,30.84,96.024,487.553,26.856,50.95,36.435,21.0,59.941,19.184,26.262,14.986,75.552,66.857,-24.30349,0.64162445,-12.638603,14.422847
4,23552,3402,168.14,290.088,61.021,427.941,124.048,391.268,52.051,34.025,121.781,7.055,141.264,111.11,9.886,79.253,13.134,23.267,49.96,204.713,14.444,408.0,11.406,102.524,306.672,37.805,2.075,61.545,130.389,139.898,8.544,20.831,8.202,1.0,2.22,49.761,25.277,58.685,38.743,21.758,142.285,423.497,11.578,20.212,51.427,25.0,81.919,2.137,6.741,11.989,112.255,55.712,-38.96024,11.288155,-16.77932,4.408938
7,18420,3059,29.56,347.418,53.9,422.683,161.815,286.277,15.014,48.473,154.535,5.036,105.945,141.14,1.0,106.693,2.011,31.365,18.709,433.747,7.205,446.609,2.156,10.476,253.027,17.825,1.0,6.342,60.178,246.743,1.0,122.467,2.029,39.807,1.0,1.0,21.635,4.933,6.897,1.0,111.028,407.142,1.0,41.985,14.629,17.0,10.99,1.0,5.593,14.986,48.025,63.817,-29.874187,5.4521484,-13.836882,10.139673
8,17919,17453,207.79,38.813,44.744,147.169,2.218,254.462,21.02,22.673,80.838,2.009,127.136,21.02,1.0,43.684,8.078,7.073,43.71,1.0,2.034,288.957,1.0,56.5,116.386,2.052,1.0,25.93,4.009,161.267,4.233,34.465,1.0,1.0,3.44,6.946,15.566,27.22,5.718,11.379,1.0,398.965,6.876,12.527,18.718,10.0,37.963,2.137,2.148,5.995,42.29,10.119,25.058998,-40.518383,-3.6711354,-26.166866
9,8238,2396,71.35,86.385,20.329,350.124,132.576,203.557,16.015,32.993,473.887,6.045,142.273,111.11,17.502,151.409,2.011,19.219,23.918,349.729,36.161,12.261,197.563,228.415,291.489,15.722,3.151,45.519,124.37,1.0,10.699,98.917,8.202,303.694,64.429,28.354,47.126,39.02,2.179,21.758,107.277,261.312,38.609,319.912,10.54,17.0,33.967,7.819,61.859,20.98,77.846,52.672,70.08267,37.820374,19.338814,21.16895
10,15035,4582,249.29,336.44,126.129,125.086,164.251,307.487,12.011,86.658,70.602,46.409,383.445,522.522,101.281,117.872,15.156,29.34,63.503,325.56,376.401,1.0,90.031,332.646,474.69,301.752,2.075,38.396,257.771,35.725,11.777,106.354,20.548,238.276,5.879,77.114,21.635,42.953,19.871,16.569,314.829,561.149,328.907,47.108,56.879,22.0,38.962,202.164,9.038,207.793,81.287,162.096,-78.04559,-64.60913,16.960096,-18.09459
11,10120,6019,42.78,21.736,42.71,84.075,32.676,449.596,32.031,50.537,7.141,15.127,118.055,43.042,267.569,51.814,38.412,32.377,34.335,97.677,490.158,1.0,44.937,78.159,102.216,113.519,14.98,81.134,185.554,1.0,72.126,33.226,14.375,54.221,18.077,282.861,42.271,117.681,10.436,46.409,348.587,120.935,471.118,35.581,45.975,23.0,29.971,371.505,20.521,446.554,36.556,66.857,51.425896,-91.161415,34.134377,-8.14787
12,14343,8338,201.82,169.33,26.433,213.419,93.59,187.65,36.035,27.833,185.242,10.082,122.091,59.058,7.347,95.514,7.067,27.316,101.004,227.732,33.059,197.261,33.375,51.085,91.082,37.805,4.226,148.802,14.039,73.12,19.32,126.185,9.231,88.593,9.538,27.164,42.271,95.394,6.897,52.896,228.557,557.06,12.753,56.073,92.314,27.0,48.952,12.365,14.779,16.984,30.821,37.475,-5.884693,25.221783,-3.8222494,6.271958
