cell,x,y,area µm²,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,None,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1,18359,16414,105.03,147.851,89.003,53.395,232.011,59.154,16.471,58.229,2.155,188.169,331.942,7.732,68.151,64.482,1.0,6.954,2.682,104.685,570.115,89.347,497.79,4.543,1.0,124.13,207.182,298.752,120.709,164.836,3.186,5.103,49.815,19.79,179.019,28.603,19.109,46.713,431.155,77.607,1.0,29.725,40.449,31.343,131.007,12.341,66.667,2.429,574.963,44.247,1.0,150.049,9.637077,-41.721878,5.2445636,-16.543766
2,20047,6163,289.8,116.826,25.445,112.776,98.074,1.0,3.21,63.249,382.121,170.945,125.721,22.542,96.044,15.478,29.506,46.247,1.0,12.521,366.86,76.888,47.969,1.0,28.68,139.362,185.091,435.106,167.738,251.749,38.162,58.437,18.028,149.232,57.547,60.452,74.441,150.404,233.956,71.396,92.85,36.109,166.92,257.752,12.404,199.975,1.0,102.472,274.937,15.055,1.0,2.232,24.225887,17.152302,-18.8093,-1.5092824
3,16207,2185,295.77,39.264,14.038,39.423,18.203,5.154,5.42,21.08,5.62,143.386,131.895,27.927,207.618,7.682,28.21,46.247,1.0,12.521,123.969,36.112,13.646,1.0,76.491,131.746,97.955,102.57,58.004,80.92,44.72,113.823,24.84,139.837,30.321,32.849,66.393,353.326,257.793,102.453,17.512,20.15,194.767,449.15,12.404,321.628,1.0,233.957,333.638,18.299,1.0,57.663,-18.733034,12.054344,-4.996642,19.387611
4,3590,8520,291.65,114.758,59.669,65.621,136.166,250.231,420.934,49.193,7.929,347.779,519.64,10.425,12.364,204.809,34.689,280.815,9.409,73.415,199.174,172.031,113.004,4.543,91.589,286.61,614.636,84.482,236.143,314.686,120.137,116.9,291.618,170.11,201.009,17.986,296.776,193.887,266.461,287.76,23.705,41.428,112.387,353.451,142.411,1.0,77.432,339.717,494.521,7.487,162.129,286.781,-58.77738,6.90053,28.514105,-20.906229
5,11823,7898,356.18,88.904,17.297,130.241,147.225,58.115,58.465,87.346,37.957,176.686,402.329,14.464,209.685,14.365,33.393,12.907,1.0,12.521,292.671,113.133,2.807,1.0,33.713,181.252,202.273,149.876,109.308,207.793,3.186,89.207,53.22,127.31,90.009,67.883,114.683,257.44,329.305,112.805,44.345,66.962,245.819,205.235,1.0,264.926,4.23,9.575,384.729,21.542,1.0,102.009,18.228447,26.601933,-17.145727,5.1521354
6,14188,7104,274.88,84.767,14.038,90.072,73.498,5.154,38.573,96.382,110.717,222.617,157.827,11.771,150.798,37.753,30.802,4.572,1.0,4.292,266.248,96.143,1.0,2.181,61.393,223.141,466.136,120.657,109.308,164.836,4.279,101.515,106.576,112.696,42.887,29.664,93.556,208.382,224.204,106.594,41.249,40.364,275.986,101.367,1.0,263.895,11.765,9.575,410.818,2.081,2.04,12.086,27.587555,25.7706,-22.606844,2.167053
7,18391,8539,121.24,148.885,41.742,105.79,155.827,17.615,217.597,58.229,267.785,175.538,669.058,6.385,26.827,75.619,32.097,2.191,1.0,114.56,158.523,107.469,161.779,1.0,89.073,253.606,345.864,155.442,59.429,201.799,1.0,60.489,216.693,176.373,28.226,60.452,237.42,72.357,191.698,126.263,95.946,96.751,68.296,352.284,142.411,1.0,2.077,9.575,385.816,22.623,1.0,85.995,-33.803997,-30.387272,19.501637,3.3942955
8,24896,14579,23.59,117.86,7.519,60.381,42.779,25.923,84.987,68.269,3.31,211.134,24.462,7.732,6.165,86.756,1.0,49.819,6.045,33.916,247.955,38.378,255.718,5.723,1.0,134.285,394.955,3.783,96.482,20.98,133.253,135.362,122.469,47.975,210.434,12.678,113.677,362.246,315.219,81.748,7.192,8.447,148.355,12.671,87.671,29.867,75.279,155.352,79.268,6.406,41.542,51.504,-14.87698,44.03681,-17.20271,-22.730997
9,22371,1788,80.02,170.602,28.705,16.719,121.421,8.269,257.381,31.121,5.62,143.386,324.533,11.771,140.467,8.796,16.549,18.861,1.0,116.206,118.888,50.837,461.66,1.0,240.055,30.196,107.773,240.315,5.275,69.931,1.0,112.798,221.234,25.009,15.66,17.986,66.393,303.153,258.876,132.475,20.608,28.661,130.951,581.027,119.603,160.799,3.153,12.433,310.81,59.383,1.0,122.949,-14.68881,-10.034842,5.134043,16.501755
10,3217,17073,333.72,13.41,1.0,86.579,79.642,49.808,91.617,109.434,29.873,141.09,7.174,10.425,93.978,8.796,23.027,61.726,11.091,1.0,320.111,63.296,1.0,5.723,99.139,108.897,190.0,124.831,82.231,71.929,49.092,117.926,99.765,41.712,112.0,28.603,87.52,248.52,212.285,73.466,20.608,31.853,204.049,2.167,1.0,257.709,97.886,1.0,633.664,79.925,95.598,81.068,42.311207,32.23886,-28.694475,1.6647866
