cell,x,y,area µm²,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,None,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1,23374,6921,247.16,87.87,10.877,81.901,119.249,50.95,2.568,40.355,15.637,145.37,69.497,158.631,86.629,44.098,26.115,4.275,1.0,18.581,115.661,231.935,1.0,1.0,111.442,198.308,249.258,82.137,11.439,88.269,1.0,51.596,8.525,122.925,117.1,59.093,80.638,212.709,196.795,129.477,188.732,170.921,157.666,159.765,1.0,103.065,1.0,13.183,325.642,1.0,1.0,2.556,13.245632,-0.5649195,6.1499085,-0.515701
2,15615,3387,125.64,55.293,9.466,240.025,108.036,13.057,102.939,19.164,6.489,127.456,72.658,6.02,120.268,79.461,10.767,1.0,1.0,5.137,29.995,62.858,11.428,1.0,146.583,105.885,177.645,106.478,5.176,138.793,3.302,68.82,219.237,202.898,6.4,128.598,40.315,98.584,134.497,47.828,203.258,199.432,77.298,46.187,12.327,234.512,4.6,5.061,419.339,46.717,1.0,15.005,20.083641,15.381796,0.09142467,-4.602916
3,3869,9684,129.91,328.933,16.521,149.318,87.648,274.864,84.119,65.582,10.148,183.307,267.611,8.028,65.221,226.438,33.091,63.233,7.062,48.571,37.902,332.969,205.388,4.24,189.254,208.692,442.613,186.601,25.009,129.607,40.131,90.35,232.407,27.22,142.75,39.383,43.339,239.172,250.194,153.492,66.93,278.12,41.692,331.965,91.612,25.743,281.8,14.198,407.462,192.334,157.936,249.972,-14.084492,-41.984943,8.258498,16.466553
4,11742,3490,334.57,394.085,56.03,249.831,145.753,2.722,60.595,82.736,15.637,144.316,201.222,9.032,95.803,24.207,37.277,10.826,1.0,329.863,26.041,202.037,305.497,1.0,73.791,143.269,433.065,329.605,11.439,208.838,1.0,147.405,285.085,136.035,34.75,145.196,108.864,88.661,276.893,91.054,178.674,281.541,77.298,487.066,424.612,59.765,2.8,8.107,387.667,11.159,4.513,10.336,0.8497696,-54.811447,0.93589973,18.276104
5,15714,7355,31.27,176.911,22.165,70.869,99.881,1.0,11.978,90.809,114.44,108.487,16.807,14.052,77.454,13.156,307.955,9.734,1.0,28.922,31.313,69.043,15.599,1.0,6.02,116.269,232.548,29.398,19.79,332.852,2.151,156.017,145.864,642.091,11.8,100.589,101.807,126.702,85.548,44.226,32.289,59.161,89.506,3.443,7.796,243.791,4.6,9.122,584.3,12.853,2.171,49.238,21.880236,14.413624,2.1763291,-5.2132454
7,23195,3280,111.71,61.809,10.877,510.919,36.679,2.722,413.46,52.464,8.319,366.668,7.323,767.067,49.931,15.366,31.696,257.574,803.595,1.0,308.08,636.071,1.0,1.0,1.0,508.808,508.258,202.828,32.317,102.048,17.113,142.023,221.119,375.953,13.15,257.234,317.535,19.194,1.0,59.835,320.591,372.774,503.552,4.664,1.0,11.825,213.4,376.64,300.568,314.246,1.0,10.336,-41.652782,38.014454,11.731759,-26.766607
8,4510,16385,231.53,20.546,1.0,195.897,447.492,76.786,15.115,119.064,6.489,95.842,112.703,7.024,34.64,58.465,14.953,112.364,7.062,1.0,43.174,91.724,1.0,4.24,78.812,300.077,476.032,127.777,19.79,144.534,40.131,109.727,72.492,105.882,126.55,176.318,321.567,115.124,98.898,158.294,224.49,409.267,203.445,2.221,1.0,140.18,76.6,2.015,300.568,133.071,80.639,78.804,7.566059,37.92924,1.2647173,-15.144843
10,6646,3083,100.63,261.609,15.11,62.288,215.071,1.0,13.546,25.218,8.319,62.12,377.206,6.02,2.019,4.315,14.953,1.0,1.0,454.997,2.318,176.263,309.668,1.0,21.08,146.385,230.161,243.397,10.395,116.976,1.0,22.53,74.373,74.417,10.45,116.15,44.347,189.553,23.249,53.832,184.262,274.699,50.848,435.773,186.755,1.0,1.0,10.137,357.314,14.546,1.0,53.907,11.64595,-68.25687,-3.484493,22.076654
11,7772,5928,202.25,526.561,27.809,345.44,173.277,54.395,57.458,104.936,8.319,180.146,407.766,5.016,17.31,45.204,45.648,7.551,1.0,490.158,4.954,236.059,424.376,1.0,33.631,245.038,511.839,325.548,11.439,159.462,2.151,38.678,335.881,19.354,86.05,148.308,123.985,240.826,34.374,147.488,173.087,256.452,123.077,405.241,352.122,4.093,2.8,23.335,332.24,19.625,1.0,38.346,-3.1899986,-59.988655,1.937219,20.056787
13,10389,6452,269.76,163.88,13.699,328.28,212.013,25.114,99.802,78.7,15.637,239.158,315.032,102.406,157.986,68.41,45.648,15.193,1.0,12.376,72.169,308.226,15.599,1.0,36.141,308.385,479.613,326.562,26.053,212.283,10.207,91.427,234.288,185.854,50.95,359.935,258.059,164.743,312.492,142.685,354.114,369.353,381.475,368.603,32.714,223.687,11.8,17.244,419.339,7.773,1.0,114.593,-15.45256,25.907658,-2.3244085,4.274806
