cell,x,y,area µm²,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,Neurofilament,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1,23330,6820,115.12,96.46,14.61,84.816,204.631,55.222,5.604,36.964,25.58,161.554,434.587,8.021,98.463,37.327,21.625,3.181,1.0,75.537,231.74,146.944,1.0,1.0,23.59,155.325,231.113,164.836,53.907,219.99,1.0,47.39,21.656,302.206,33.183,76.26,111.442,175.322,246.685,135.617,193.539,378.237,117.883,233.018,1.0,95.376,1.0,22.17,234.143,1.0,1.0,3.982,-8.596325,-2.985691,3.1359,1.370988
2,15619,3002,30.7,1.0,6.444,53.102,85.678,37.148,330.931,15.985,8.023,232.911,214.189,76.226,192.881,8.479,1.0,148.233,1.0,7.211,107.193,220.944,1.0,1.0,3.51,201.623,8.744,72.928,4.112,179.353,2.134,99.174,288.306,95.127,1.0,329.876,17.064,84.809,55.195,166.319,20.804,291.504,204.796,1.0,4.223,238.09,18.374,24.186,204.186,1.0,1.0,118.793,-10.868038,-15.599934,-4.2168193,-4.66585
3,2541,8797,213.62,427.24,48.636,305.684,167.332,457.78,464.438,48.952,18.557,185.689,356.314,37.108,6.076,193.321,51.272,55.531,7.37,234.963,8.866,638.222,415.839,5.283,166.663,315.824,450.163,301.699,17.598,245.953,37.286,18.261,534.301,149.093,184.709,80.384,57.225,217.227,11.839,300.936,284.857,295.684,228.772,550.39,339.371,1.0,166.052,12.089,377.416,160.118,85.423,488.572,67.63746,21.198822,-4.768231,27.856882
4,14307,7207,110.15,238.54,11.888,51.969,308.462,5.929,20.949,81.919,16.801,188.837,270.833,8.021,240.598,22.369,57.717,16.269,1.0,26.881,195.031,135.639,68.729,1.0,141.563,320.968,434.674,240.76,13.449,203.058,4.402,84.07,141.836,58.731,37.205,130.901,147.587,299.359,203.329,103.734,68.113,307.179,271.729,129.632,42.894,559.197,11.424,9.065,583.207,1.0,1.0,15.91,-28.568398,-23.123074,2.9001064,-15.90127
6,19686,2769,27.72,369.52,9.166,91.612,126.001,235.962,191.286,78.922,9.779,145.813,225.518,9.024,77.143,127.077,31.937,10.816,1.0,427.516,1.0,215.806,282.498,1.0,48.691,174.873,284.216,350.65,7.224,129.685,1.0,99.174,156.859,33.631,18.432,252.554,97.386,239.017,57.002,239.532,303.561,637.392,169.831,382.087,262.029,72.357,2.737,10.073,312.292,15.764,2.173,275.352,31.373184,29.158464,4.056124,14.475071
7,1384,15607,135.59,9.88,1.0,372.51,177.413,185.026,96.143,45.955,8.023,186.738,153.425,192.575,38.564,121.735,6.156,122.058,8.431,23.775,154.39,439.861,1.0,6.354,21.08,354.92,478.927,370.63,24.86,83.403,53.161,34.444,115.547,189.254,218.232,174.201,326.303,135.094,165.392,158.053,393.779,482.735,684.316,1.0,1.0,217.373,376.277,1.0,528.503,171.601,31.486,150.104,12.008972,-34.41938,-7.518387,-24.151812
8,18982,16299,37.81,267.4,26.86,868.612,101.807,17.431,7.138,37.963,4.511,139.517,146.215,5.012,8.107,1.0,2.289,19.54,2.062,341.592,40.331,136.667,437.004,2.071,1.0,79.192,80.654,98.902,9.299,154.519,4.402,2.079,205.682,125.247,186.05,16.464,67.265,27.819,362.302,96.649,17.503,158.792,29.971,33.458,223.358,5.604,54.859,169.348,254.983,42.01,1.0,8.455,24.766417,10.763763,-3.4027991,12.242617
9,4279,11798,281.27,120.88,2.361,350.99,264.107,201.457,33.226,24.976,16.801,201.43,331.597,7.018,95.418,111.05,12.601,52.259,8.431,94.171,75.728,193.194,3.117,4.212,412.648,283.93,233.326,419.581,7.224,153.39,47.491,35.523,139.959,125.247,194.095,213.378,116.462,274.216,93.132,108.457,152.83,510.95,186.814,50.289,20.335,189.751,296.357,2.008,395.651,125.67,65.489,103.882,-33.431484,-44.83688,-1.6484509,-20.125217
10,8297,2694,107.02,376.18,24.138,85.949,154.227,1.0,14.811,43.957,27.336,92.295,313.059,10.027,16.229,7.411,47.405,1.0,1.0,627.316,1.0,270.278,310.013,1.0,3.51,188.248,338.425,275.725,9.299,407.373,1.0,58.178,124.936,327.307,10.387,132.963,48.189,47.933,1.0,21.074,530.206,455.566,42.958,526.347,220.135,1.0,1.0,10.073,389.138,5.921,1.0,24.857,29.74451,43.978127,10.443489,16.088066
11,12112,5667,176.1,189.7,7.805,317.01,107.856,38.791,7.138,41.959,9.779,118.529,206.979,5.012,110.646,31.985,33.226,5.362,1.0,101.418,35.087,168.528,30.631,1.0,68.771,292.161,421.399,231.769,13.449,108.237,2.134,43.075,44.19,137.798,39.887,118.529,96.382,180.351,147.327,99.011,323.365,296.729,94.906,218.592,20.335,202.411,1.0,7.048,350.064,46.931,1.0,135.194,-12.761303,-12.850235,2.0506148,-2.990466
