class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,Neurofilament,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,UMAP_1,UMAP_2,TSNE_1,TSNE_2
dense,1,13662,46,393.77,109.8,0.41,0.87,197.773,14.194,2.301,63.739,86.05,1.0,13.823,5.562,89.147,645.4,7.091,232.429,9.325,9.073,1.0,1.0,228.897,24.079,32.672,485.097,215.619,38.841,104.193,51.05,328.054,2.476,228.045,1.0,86.096,29.543,112.0,2.171,17.454,43.662,422.242,281.23,156.424,9.476,65.66,141.261,1000.0,695.957,82.8,8.027,15.17,862.717,47.846,1.0,152.416,65.103226,4.4022064,4.4418845,-8.219774
dense,2,3113,51,595.38,172.87,0.25,0.83,133.734,59.432,15.309,347.272,49.6,1.0,24.314,7.842,86.592,843.4,2.523,844.429,71.763,31.273,103.108,4.187,784.591,103.208,52.468,502.7,563.097,129.659,321.558,131.13,556.0,12.805,388.313,16.896,77.936,8.136,152.364,160.278,104.426,114.765,609.675,281.23,56.738,38.538,447.155,164.16,369.969,560.223,1.0,2.171,31.112,577.59,4.513,5.897,75.838,64.72507,-3.3576965,1.1936913,-11.202792
dense,3,5268,70,2387.91,401.04,0.19,0.82,75.517,57.547,79.047,320.728,2.35,1.0,33.639,16.966,82.76,942.4,17.752,372.571,7.938,71.636,34.116,1.0,722.153,146.069,68.304,447.689,466.008,61.545,246.908,195.194,668.982,6.903,588.647,1.0,55.788,75.925,258.318,20.91,203.151,85.139,257.996,306.705,51.379,82.131,395.427,81.149,415.22,603.658,159.378,1.0,13.399,552.245,1.0,2.224,77.578,32.46119,-24.648144,0.37442112,-10.626336
dense,4,11462,73,2017.73,331.74,0.23,0.9,268.797,80.166,6.203,112.0,15.85,1.0,32.474,7.842,71.262,703.0,17.752,534.571,1.0,15.127,3.76,1.0,266.359,57.05,30.033,454.291,747.056,122.091,145.91,85.084,441.036,2.476,377.628,1.0,292.424,86.629,56.5,19.739,36.259,30.626,325.627,317.623,130.698,13.109,81.825,29.625,653.657,1000.0,248.139,1.0,11.628,600.822,2.171,2.224,91.502,62.196808,4.22068,4.217974,-8.539866
dense,5,2459,124,3232.94,528.75,0.15,0.82,35.93,48.123,164.898,393.12,82.0,1.0,1.0,5.562,43.157,775.0,14.706,123.143,74.537,27.236,72.751,2.593,531.719,155.96,93.378,370.674,1000.0,129.659,238.125,45.044,621.411,21.659,361.602,14.45,5.663,22.407,233.091,84.152,163.191,14.036,426.106,293.967,55.666,45.804,256.408,92.599,100.204,370.196,274.246,1.0,29.34,535.349,9.198,5.897,126.31,29.813509,-23.771393,-0.8113984,-10.9425335
dense,6,6302,94,712.56,231.24,0.17,0.75,73.189,59.432,43.926,259.196,7.75,3.871,26.645,19.247,113.419,760.6,5.569,220.857,14.875,160.436,36.876,1.0,584.791,162.554,51.148,388.278,338.258,144.795,196.409,111.11,595.643,9.854,569.949,1.0,46.462,18.839,243.182,5.685,164.366,46.032,275.387,348.557,64.241,47.015,324.301,46.799,481.355,321.332,242.918,2.171,13.399,676.856,1.0,3.449,32.328,31.534409,-23.694077,0.6240204,-10.628598
dense,7,6585,82,262.73,77.37,0.55,0.86,172.157,14.194,24.414,255.576,7.75,12.483,31.308,5.562,89.147,951.4,2.523,683.714,14.875,9.073,18.938,1.0,822.053,1.0,51.148,412.482,220.729,8.568,383.035,195.194,407.339,1.0,388.313,1.0,112.907,40.246,157.409,5.685,44.486,64.993,501.466,361.295,86.751,33.695,227.311,89.736,523.125,706.815,1.0,4.513,8.085,712.761,1.0,3.449,42.77,65.86923,-1.7563171,1.7021831,-11.024234
dense,8,7862,324,750.58,189.83,0.26,0.82,104.626,125.404,60.836,230.239,10.45,1.0,26.645,26.089,130.027,746.2,4.046,798.143,2.388,75.673,34.116,1.0,822.053,14.188,155.403,284.857,90.425,16.136,314.971,69.068,439.054,11.329,495.158,1.0,174.688,1.0,192.727,2.171,55.064,18.776,126.6,75.607,114.62,96.662,308.136,126.948,483.096,522.217,1.0,1.0,11.628,611.383,1.0,1.0,75.838,65.894295,-2.436119,1.6836196,-10.956325
dense,9,12470,408,2452.93,443.98,0.16,0.76,198.937,17.964,98.559,145.783,33.4,1.0,16.154,7.842,38.047,591.4,11.66,233.714,16.262,35.309,9.279,1.0,528.597,301.03,28.713,456.491,504.332,220.477,117.367,173.172,544.107,9.854,310.85,2.223,74.439,8.136,137.227,23.252,98.549,82.769,460.888,343.098,80.32,67.6,279.039,181.335,883.392,429.918,460.47,3.342,13.399,750.778,5.685,1.0,34.068,27.127962,-20.309036,-0.3280045,-9.931877
dense,10,4862,435,2039.12,302.51,0.28,0.88,61.545,23.619,166.199,389.5,5.05,1.0,17.32,7.842,92.98,829.0,14.706,523.0,14.875,21.182,46.535,1.0,644.106,198.822,63.025,487.297,463.453,106.955,275.451,177.176,605.554,17.232,492.487,1.0,39.468,86.629,152.364,66.585,147.912,93.434,219.35,368.574,32.085,112.404,469.786,89.736,495.279,511.359,20.145,2.171,9.856,706.425,1.0,5.897,98.463,62.368145,-5.249901,0.5462922,-10.240016
