cell,x,y,area µm²,E3,Vimentin,CD163,P2Ry12,a-Beta,PSD-95,CD11c,HLA-A,TMEM119,CD31,Gal3,HLA-DR,CD8,ATG7,MAP2,GFAP,CollagenIV,CD3e,CD4,NeuN,Neurofilament,CD74,Claudin-5,CD40,CD11b,E1,E10,Synaptophysin,CD34,ApoE,E2,PCNA,Olig2,E4,DAPI_1,H2A.x,E5,E6,E9,S100B,SMA,CD44,CD45,E8,CD68,AQP4,IBA1,CD14,E7,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2,4632,5496,118.25,11.771,14.434,1.0,1.0,1.0,26.139,128.43,31.388,549.232,19.041,7.244,24.701,2.178,205.467,16.396,7.938,1.0,1.0,102.072,3.215,187.038,179.181,4.36,72.115,206.373,11.502,53.817,11.756,161.193,24.845,1.0,221.53,111.005,22.115,133.894,265.795,1.0,6.775,115.828,444.686,2.032,243.373,401.698,29.725,155.379,2.138,500.5,263.25,23.13,-34.036762,40.54943,-17.99439,6.3304176
3,12713,12207,126.64,30.62,8.328,6.066,13.902,3.646,27.232,100.78,28.856,276.777,29.188,12.447,27.071,19.849,221.024,14.685,27.594,7.011,7.852,81.565,9.86,130.972,187.496,24.519,65.342,207.405,28.568,44.763,1.0,33.795,32.376,16.348,251.301,98.214,30.033,201.487,54.303,16.136,19.479,90.948,342.949,6.16,49.475,318.265,61.642,157.931,37.41,399.203,229.576,18.388,-59.699356,28.20045,-7.2678185,15.45664
4,6130,13914,75.19,11.771,20.54,14.171,1.0,1.0,4.279,127.227,30.122,98.463,3.255,33.259,132.541,9.246,268.808,26.659,7.938,1.0,1.0,53.733,3.215,113.133,126.914,4.36,34.864,182.636,16.753,31.181,6.378,28.75,31.121,1.0,112.368,49.607,4.959,7.874,193.578,1.0,4.465,48.845,390.992,2.032,95.842,308.385,8.979,55.862,142.089,437.626,118.349,10.484,-44.85974,-13.099655,11.250107,0.063576
5,3031,7549,230.53,17.156,91.374,1.0,1.0,1.0,40.348,237.827,164.335,476.134,30.316,87.372,236.826,10.425,415.491,23.238,9.094,1.0,1.0,153.34,5.43,164.102,230.259,5.48,148.31,199.149,11.502,34.199,1.0,50.193,71.281,1.0,952.586,95.656,7.598,266.789,141.995,1.0,12.549,94.776,361.318,2.032,170.661,515.869,40.896,188.552,62.442,895.21,693.871,23.13,-23.986061,29.300934,-14.733129,3.052583
7,5255,11144,253.27,17.156,1.0,1.0,1.0,1.0,3.186,98.375,4.798,420.757,4.383,2.041,14.036,4.534,282.142,18.106,4.469,1.0,1.0,71.311,4.323,125.875,96.03,2.12,46.717,145.483,3.625,31.181,3.689,48.932,11.04,1.0,222.632,25.303,7.598,66.302,150.592,1.0,10.239,54.586,403.709,1.0,111.649,363.275,47.28,104.345,1.0,491.185,228.556,19.968,-41.646545,27.801216,-8.791977,9.844227
9,12768,15251,112.28,9.078,201.289,2.013,1.0,1.0,16.302,129.632,221.312,194.819,171.258,181.028,215.495,9.246,295.477,16.396,3.312,122.419,1.0,310.075,28.688,41.776,37.824,194.752,92.434,147.548,4.938,44.763,1.0,269.67,58.731,1.0,275.56,50.886,3.639,120.147,191.859,1.0,5.62,50.759,588.813,2.032,183.307,350.101,12.171,133.69,39.686,239.689,277.536,10.484,28.238842,-2.00247,-10.503795,-19.79645
10,20098,15999,205.66,6.385,73.055,3.026,1.0,1.0,6.465,146.462,63.042,502.715,31.444,53.031,57.883,2.178,327.703,26.659,5.625,1.0,1.0,80.1,3.215,115.681,88.902,4.36,89.047,276.551,6.251,91.544,9.067,17.398,23.59,1.0,191.758,45.77,10.238,61.719,119.642,1.0,5.62,146.448,200.235,1.0,140.101,459.881,42.492,39.276,66.993,416.668,269.373,45.259,-48.66155,26.797592,-12.327359,16.610622
11,25959,13960,215.89,19.849,37.638,1.0,1.0,4.97,27.232,73.13,28.856,333.262,17.913,10.366,38.922,2.178,219.913,42.055,13.719,2.202,1.0,66.916,2.108,72.357,139.981,8.84,48.41,108.331,16.753,139.834,39.992,2.261,27.356,1.0,213.811,58.561,10.238,109.836,71.497,1.0,17.169,125.397,90.02,2.032,187.522,207.387,40.896,71.172,115.919,414.339,110.186,31.033,-67.62254,10.233601,2.5292892,14.91477
13,16774,9185,229.82,9.078,268.458,740.625,1.0,1.0,15.209,73.13,209.916,36.441,72.035,265.319,72.103,234.257,327.703,33.502,9.094,233.018,13.333,181.172,19.828,31.582,77.024,119.715,122.912,289.967,10.189,32.69,60.16,199.034,29.866,1.0,290.997,29.141,11.557,123.584,250.32,1.0,13.704,69.897,228.495,1.0,2.054,264.473,34.513,17.586,87.474,517.965,705.096,34.195,24.918259,-21.208866,-21.030592,-18.950323
14,5251,15310,102.33,3.693,8.328,1.0,1.0,1.0,21.767,128.43,9.863,493.855,15.658,29.097,36.552,15.137,304.367,303.779,2.156,1.0,1.0,56.663,54.162,199.781,230.259,2.12,56.876,122.779,2.313,38.727,424.533,9.83,44.926,1.0,225.94,11.233,4.959,124.729,143.714,1.0,9.084,46.931,253.929,1.0,42.098,229.343,15.363,16.31,110.23,350.301,175.493,10.484,6.790119,-105.58387,35.129578,-1.5832851
