class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,E3,Vimentin,CD163,P2Ry12,a-BetaPSD-95,CD11c,HLA-A,TMEM119,CD31,Gal3,HLA-DR,CD8,ATG7,MAP2,GFAP,CollagenIV,CD3e,CD4,NeuN,Neurofilament,CD74,Claudin-5,CD40,CD11b,E1,E10,Synaptophysin,CD34,ApoE,E2,PCNA,Olig2,E4,DAPI_1,H2A.x,E5,E6,E9,S100B,SMA,CD44,CD45,E8,CD68,AQP4,IBA1,CD14,E7,None,UMAP_1,UMAP_2,TSNE_1,TSNE_2
dense,1,25717,31,219.38,74.43,0.5,0.89,8.676,21.182,1.0,1.0,171.561,74.361,37.075,10.946,115.356,66.125,3.362,1.0,1.0,620.552,377.931,6.28,1.0,1.0,32.415,8.992,62.414,1.0,8.585,42.625,20.9,11.527,109.139,654.862,1.0,54.23,1.0,109.195,1.0,9.91,99.802,37.643,1.0,4.417,40.761,201.161,11.194,1.0,161.554,17.813,1.0,262.643,15.221,69.151,11.104,-7.0387926,10.943756,-7.4603004,0.7455708
dense,2,26903,53,562.4,193.18,0.19,0.72,31.705,138.909,1.0,1.0,315.32,1.0,1.0,26.417,3.158,58.753,1.0,1.0,1.0,641.989,188.148,24.233,1.0,1.0,34.509,1.0,123.828,1.0,10.752,17.65,6.97,51.529,129.737,563.036,1.0,57.944,1.0,1.0,1.0,24.388,83.335,47.286,1.0,14.669,39.104,184.931,13.742,1.0,54.518,24.819,1.0,219.269,1.0,2.662,17.418,-2.8039455,13.302155,-4.0315046,-3.7173157
dense,3,27046,52,268.98,73.16,0.63,0.91,90.921,229.727,1.0,1.0,588.217,1.0,1.0,76.146,80.834,48.923,5.723,1.0,1.0,526.225,235.594,88.65,1.0,1.0,55.453,45.755,156.582,9.95,22.67,117.55,48.761,134.691,186.381,631.114,1.0,101.271,1.0,4.606,1.0,66.709,50.401,28.0,1.0,38.591,65.612,192.144,22.662,10.07,115.681,37.429,1.0,276.634,36.552,10.973,32.574,1.4033375,12.749895,12.717946,-9.801736
dense,4,25606,64,282.48,101.79,0.34,0.77,8.676,48.091,1.0,1.0,366.488,22.577,14.875,6.525,37.68,55.066,2.181,1.0,1.0,545.519,261.953,6.28,1.0,1.0,38.698,52.149,258.939,1.0,9.668,38.462,24.88,10.474,103.99,806.849,1.0,85.178,1.0,199.357,75.954,7.682,237.027,26.071,1.0,6.696,27.507,242.635,9.92,2.296,161.554,13.61,1.0,146.513,8.11,49.205,9.841,-30.512787,0.9641056,-6.5650287,1.4009359
dense,5,26724,83,342.32,114.98,0.33,0.78,11.966,68.273,1.0,1.0,459.078,10.71,17.65,8.736,82.991,95.616,1.0,1.0,1.0,569.101,188.148,8.392,1.0,1.0,55.453,53.747,119.734,1.0,9.668,34.3,10.95,16.79,98.84,374.635,1.0,74.037,1.0,65.917,1.0,12.137,61.379,49.214,1.0,7.835,37.448,193.948,9.92,1.0,184.49,23.418,1.0,140.916,4.555,24.271,13.63,-1.7584534,12.962452,-3.41995,-4.299679
dense,6,12130,103,808.0,180.23,0.31,0.81,8.676,21.182,1.0,1.0,953.705,85.149,381.175,12.051,331.123,61.21,117.904,63.83,3.467,605.545,372.66,6.28,2.376,6.176,76.396,24.976,426.803,5.475,2.084,163.338,62.691,17.843,93.691,814.765,1.0,397.134,2.129,520.336,19.739,12.137,121.758,188.071,1.0,6.696,45.731,332.798,7.371,2.296,495.403,16.412,1.0,184.29,164.537,137.303,11.104,-60.704697,-9.659699,-20.902124,-7.9081306
dense,7,17148,95,453.46,120.38,0.39,0.78,7.58,4.364,1.0,1.0,510.246,32.286,311.8,2.105,279.339,79.642,60.043,1.0,1.0,541.232,327.85,4.168,1.0,1.0,28.226,82.518,467.746,1.0,2.084,55.113,22.89,6.263,73.093,824.265,15.294,45.565,1.0,199.357,4.513,7.682,77.846,130.214,1.0,4.417,49.045,376.076,4.823,1.0,370.528,17.813,1.0,101.739,125.431,95.747,11.104,-44.055717,-7.689869,-17.140743,-5.370809
dense,8,12221,113,424.18,122.26,0.36,0.78,10.869,34.636,1.0,1.0,756.341,73.282,281.275,6.525,300.916,40.321,114.362,1.0,7.167,551.951,261.953,7.336,2.376,1.0,53.358,15.386,369.484,1.0,2.084,150.85,36.821,13.632,93.691,547.204,4.176,492.454,1.0,459.025,17.396,12.137,110.78,222.786,1.0,6.696,58.985,318.372,4.823,6.183,390.916,16.412,1.0,185.689,107.655,130.654,9.841,-69.71831,7.4158916,-22.948984,2.140574
dense,9,16927,90,296.84,134.63,0.21,0.65,7.58,7.727,1.0,1.0,329.939,51.705,322.9,4.315,333.281,72.269,87.202,1.0,1.0,494.069,177.604,4.168,1.0,1.0,32.415,45.755,455.463,7.712,2.084,80.087,46.771,7.316,57.644,745.105,1.0,52.993,1.0,224.603,10.369,7.682,77.846,74.286,1.0,4.417,40.761,419.354,3.548,1.0,370.528,15.011,1.0,42.975,168.093,105.72,11.104,-43.299774,-4.245433,-16.974247,-4.4185863
dense,10,25178,128,513.3,137.78,0.34,0.7,5.386,98.545,11.142,1.0,271.461,15.025,39.85,6.525,61.415,52.609,2.181,4.142,1.0,509.075,214.507,6.28,1.0,1.0,44.981,79.322,160.676,1.0,4.251,25.975,28.861,5.211,103.99,517.124,1.0,335.238,1.0,145.26,1.0,7.682,149.203,78.143,1.0,6.696,47.388,255.258,9.92,1.0,238.008,23.418,1.0,324.206,32.996,130.654,13.63,-42.75701,23.377502,-2.2472548,-3.7928784
dense,11,26559,118,288.88,99.97,0.36,0.81,16.352,98.545,1.0,1.0,69.224,147.721,464.425,25.312,363.488,138.624,74.213,129.802,1.0,596.97,240.865,9.448,2.376,1.0,153.887,48.952,152.488,43.511,12.919,96.738,188.064,13.632,140.036,111.824,1.0,334.0,1.0,668.202,13.883,8.796,171.159,45.357,1.0,7.835,68.925,271.487,8.645,1.0,393.464,38.83,17.762,168.899,278.302,132.316,12.367,-50.359097,11.63378,-14.46522,2.0152047
