cell,x,y,area µm²,CD4,CD34,H2A.x,E5,HLA-DR,E9,ApoE,HLA-A,S100B,Gal3,CD45,PSD-95,CD74,CD8,E3,CD40,E7,PCNA,Vimentin,CD44,ATG7,E6,E1,IBA1,GFAP,SMA,a-Beta,CollagenIV,CD14,Synaptophysin,CD31,TMEM119,Neurofilament,AQP4,CD68,E2,CD11c,DAPI_1,Olig2,CD163,E4,Claudin-5,P2Rx7,CD3e,E8,E10,CD11b,NeuN,MAP2,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1,14658,13703,153.36,154.34,205.064,260.081,64.149,76.758,137.665,183.239,232.241,499.515,263.681,171.181,79.921,38.186,168.003,62.921,340.707,83.581,399.798,312.435,106.894,219.46,107.277,41.201,65.647,88.262,4.585,60.839,149.446,222.136,194.355,156.311,49.193,37.577,310.856,113.45,72.718,136.302,339.536,240.72,28.636,65.8,204.151,124.319,110.982,85.764,155.644,114.903,10.279,61.613,-35.07597,-26.002281,-1.7708415,18.670443
2,3283,9535,147.96,162.351,49.732,275.451,79.678,96.961,162.688,62.299,34.469,430.55,123.72,154.293,120.88,35.171,134.804,78.402,173.813,78.993,220.439,50.649,10.99,393.546,97.155,62.307,54.536,80.238,3.39,73.009,22.063,72.119,328.629,23.044,111.442,87.87,68.36,82.326,65.647,306.193,118.529,26.075,34.778,97.12,5.189,296.288,97.743,99.386,143.272,76.238,17.495,97.533,19.197582,41.87813,9.309901,1.3989997
3,20344,17070,311.26,141.753,96.433,220.56,90.03,68.677,151.139,29.164,11.142,400.994,70.981,101.03,152.848,19.091,108.647,78.402,198.669,132.9,141.281,34.099,11.989,212.633,104.24,38.186,67.667,70.208,4.585,52.725,22.063,14.335,319.677,19.036,82.326,195.314,7.218,68.269,39.384,245.155,71.262,17.048,16.353,84.16,5.189,283.843,110.982,126.632,177.294,106.543,59.765,122.227,12.023087,48.101273,8.547476,-1.303765
5,25943,4765,87.55,418.68,262.933,204.093,170.778,78.779,183.861,42.418,304.25,422.669,171.388,60.758,38.962,57.282,177.057,147.548,326.504,119.137,240.479,574.221,84.916,212.633,191.286,135.674,18.172,130.389,10.56,145.018,548.645,384.376,86.935,249.497,19.072,12.43,224.842,68.269,179.79,150.545,141.524,115.343,15.33,159.76,343.425,30.416,132.367,175.068,157.19,88.778,8.217,9.98,-35.83354,-26.445362,-1.6201121,17.904541
7,20236,20043,164.73,110.856,236.537,114.074,69.325,40.394,104.942,140.164,124.734,24.645,270.781,129.61,26.974,7.03,10.054,54.665,57.815,75.552,239.477,399.697,8.992,112.506,74.888,39.191,43.425,38.111,3.39,44.611,293.88,122.125,113.79,140.279,23.088,103.872,31.053,71.281,39.384,197.341,313.986,168.503,26.589,72.28,221.953,68.882,74.321,85.764,107.704,114.903,22.65,52.634,-41.407856,-41.53132,-0.17148396,15.002909
9,7952,2543,189.74,121.155,18.259,173.355,87.96,60.597,66.445,68.925,13.171,133.018,63.881,146.498,109.891,10.045,104.622,63.954,75.57,78.993,294.588,55.163,3.997,433.369,79.948,51.252,19.182,48.142,4.585,33.455,18.051,9.89,224.79,36.07,61.241,19.288,3.073,59.233,47.465,265.501,403.41,19.054,10.212,59.32,5.189,122.057,81.45,91.818,78.322,98.183,94.817,155.901,-18.725262,41.382442,-2.115751,-8.14366
10,17034,19923,180.5,78.814,122.829,325.949,81.748,45.445,70.295,63.955,32.441,22.675,14.185,23.085,79.921,10.045,6.03,87.69,36.509,68.67,95.189,58.172,263.737,94.301,119.422,74.367,29.283,75.223,5.78,69.966,15.042,146.572,448.581,32.062,35.137,419.346,42.452,56.221,102.011,69.16,82.76,71.211,14.306,96.04,10.425,93.772,69.229,78.195,112.344,62.654,6.155,12.225,-36.8621,-70.654205,-17.021677,-10.349766
12,18812,11556,219.59,166.928,8.107,291.918,50.691,66.657,106.867,135.194,43.597,556.657,46.64,116.619,301.699,45.221,228.366,62.921,250.75,60.642,171.341,58.172,102.898,237.665,108.289,43.211,24.233,76.226,5.78,56.782,22.063,247.694,538.097,42.082,41.161,234.176,222.77,72.285,77.768,250.241,182.404,49.145,25.566,69.04,7.283,425.264,116.073,93.332,126.262,82.508,11.31,131.207,11.78116,2.5701523,-8.821442,12.623014
13,13009,14983,192.3,162.351,27.396,138.225,50.691,68.677,101.092,72.239,16.213,332.03,104.45,142.601,187.813,38.186,113.677,58.793,195.118,76.699,187.373,52.154,12.988,396.959,62.742,34.166,69.688,56.166,4.585,43.597,21.06,87.676,491.548,34.066,132.527,71.867,22.762,85.338,42.415,237.016,121.084,27.078,17.377,58.24,6.236,283.843,96.725,52.464,104.611,79.373,24.712,234.474,23.071684,47.926426,12.282569,0.81594473
14,11220,8467,246.59,139.464,14.198,175.551,65.184,63.627,76.069,42.418,7.085,434.491,303.236,141.302,147.853,14.065,149.894,37.121,176.18,75.552,249.497,83.748,6.994,695.066,79.948,16.075,21.202,26.075,2.195,13.171,20.057,25.447,342.952,16.03,94.374,44.435,4.109,74.293,28.273,345.869,117.252,32.093,16.353,37.72,3.094,579.13,95.706,72.141,146.365,69.969,15.433,167.126,47.897667,52.641624,21.945854,2.8826144
