cell,x,y,area µm²,CD4,CD34,H2A.x,E5,HLA-DR,E9,ApoE,HLA-A,S100B,Gal3,CD45,PSD-95,CD74,CD8,E3,CD40,E7,PCNA,Vimentin,CD44,ATG7,E6,E1,IBA1,GFAP,SMA,a-Beta,CollagenIV,CD14,Synaptophysin,CD31,TMEM119,Neurofilament,AQP4,CD68,E2,CD11c,DAPI_1,Olig2,CD163,E4,Claudin-5,P2Rx7,CD3e,E8,E10,CD11b,NeuN,MAP2,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2,13388,13303,93.09,241.686,20.143,3.387,106.505,349.652,132.701,16.225,38.859,289.988,47.789,453.438,161.856,251.042,164.966,91.305,322.545,117.584,248.421,6.307,13.023,285.378,119.409,53.903,348.783,68.309,3.794,42.371,27.725,196.966,448.2,65.855,417.809,33.882,74.037,216.881,49.391,178.105,63.016,30.041,52.568,59.765,6.357,124.723,85.841,113.914,133.149,125.426,196.777,64.818,5.218397,31.329784,3.7090058,7.9537787
3,10699,14641,92.95,215.503,2.196,144.226,109.802,144.217,116.64,45.504,75.498,246.39,65.492,322.948,282.498,197.295,200.8,48.975,236.636,93.463,240.139,11.614,14.116,278.023,90.669,47.751,387.296,51.777,5.192,42.371,36.633,206.551,677.106,45.375,291.537,62.067,26.996,188.244,54.767,250.22,45.49,32.364,19.2,67.43,5.017,241.866,101.748,138.793,87.079,132.605,17.091,74.636,9.250935,53.807457,12.83065,10.617775
4,4407,17658,56.85,120.84,210.371,8.161,121.342,72.609,306.161,190.728,204.952,12.211,333.578,151.813,15.816,23.2,8.601,82.839,112.682,123.614,432.692,174.797,1.0,162.801,102.165,73.587,209.903,97.83,5.192,41.155,414.599,106.438,266.288,164.845,127.272,134.096,31.948,90.216,65.521,174.924,216.709,21.909,9.089,100.645,313.02,53.648,56.146,67.983,99.203,67.999,76.093,19.409,65.21787,-12.776268,-25.038189,0.15809208
5,4937,8203,231.81,229.602,38.089,22.484,213.658,130.13,341.495,41.991,93.817,286.251,27.556,320.808,70.845,266.232,148.678,146.335,262.409,206.026,247.385,6.307,14.116,314.796,136.652,62.515,411.804,115.543,6.589,81.309,28.997,151.17,475.487,48.788,466.977,38.58,49.279,168.418,60.144,249.159,72.453,21.909,102.113,127.472,7.696,119.458,118.717,238.31,162.246,157.729,54.638,80.773,14.347963,31.999165,2.8671632,11.302448
8,8432,19281,127.77,156.087,1.0,12.935,116.396,262.783,225.855,54.873,73.055,7.228,85.725,350.757,155.506,338.674,7.515,64.496,111.455,133.664,204.941,15.594,1.0,226.541,117.109,40.369,505.168,47.053,3.794,42.371,22.634,204.421,436.073,33.997,180.909,134.096,130.981,129.868,78.425,255.522,96.721,5.647,34.367,75.095,5.017,243.182,74.175,110.086,95.566,130.212,14.409,62.364,52.906296,-12.537476,-30.53316,4.7211094
9,20489,14692,77.74,184.284,4.589,11.742,57.05,112.522,222.643,59.558,37.638,272.549,84.461,353.966,337.528,130.695,194.285,60.263,290.636,111.553,189.412,7.633,17.395,426.341,99.865,48.982,237.912,42.33,5.192,46.022,35.361,123.479,552.8,51.064,290.419,231.177,55.468,56.072,70.898,209.92,38.749,56.758,16.167,67.43,6.357,427.451,101.748,79.466,119.813,108.677,29.16,138.455,-8.012966,64.27716,22.692488,-0.9510386
10,24582,11753,226.27,228.595,6.982,5.774,132.881,99.609,174.46,51.36,71.834,318.637,84.461,342.2,183.021,211.316,221.432,118.114,294.318,141.704,297.077,8.96,16.302,430.018,117.109,62.515,348.783,82.479,5.192,76.442,28.997,85.138,376.951,64.718,338.47,121.569,54.23,119.955,70.898,244.917,115.595,45.142,47.512,87.87,7.696,480.099,87.962,134.966,99.203,113.462,41.228,94.273,-17.999825,54.71444,20.211287,-4.6409206
11,26101,12068,75.9,413.893,14.16,66.645,141.124,254.565,190.521,86.495,213.501,322.374,81.932,469.482,45.447,647.137,196.457,102.593,439.136,151.755,307.429,22.227,30.511,268.217,63.078,63.745,869.29,82.479,16.369,89.827,34.088,404.647,182.912,51.064,340.705,101.213,33.186,362.27,61.22,165.379,365.008,78.829,125.369,122.362,10.374,484.047,108.111,156.017,87.079,211.568,18.432,2.227,-12.013678,8.151596,0.3215263,-4.439117
12,1082,15914,101.34,212.482,16.553,36.806,142.772,185.304,331.859,13.883,81.604,363.48,99.635,332.574,190.429,217.158,286.584,98.36,359.364,208.036,262.914,20.9,23.953,262.088,155.046,51.442,268.256,74.213,6.589,72.792,32.815,145.844,525.513,51.064,271.423,409.682,274.58,132.071,70.898,229.01,40.097,53.273,135.481,98.09,10.374,430.083,79.478,146.448,216.803,149.354,78.774,331.136,-4.3324327,47.45707,16.224043,5.1849127
14,25570,16706,108.16,240.679,3.393,10.548,134.53,161.826,315.797,40.819,74.276,309.918,56.641,360.383,116.351,142.379,162.795,65.907,331.136,224.117,222.54,3.653,11.93,379.762,104.464,58.824,247.249,67.128,3.794,54.54,30.27,70.227,452.748,49.926,317.238,210.821,1.0,78.1,63.37,328.697,106.158,42.819,14.145,64.875,7.696,466.937,107.051,94.776,165.883,175.675,157.89,73.409,-10.528793,59.565186,20.388054,-1.295366
